Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score
SD Gundam Force: Showdown!,PS2,2004.0,Shooter,Namco Bandai Games,20000,10000,0,45
Armored Core: Last Raven Portable,PSP,2010.0,Simulation,From Software,0,0,30000,85
FaceBreaker,X360,2008.0,Fighting,Electronic Arts,150000,20000,0,67
Kaboom!,2600,1980.0,Misc,Activision,1070000,70000,0,81
Jurassic Park: Operation Genesis,XB,2003.0,Simulation,Konami Digital Entertainment,50000,10000,0,42
Whirl Tour,GC,2002.0,Sports,Vivendi Games,40000,10000,0,54
DuckTales: Remastered,PC,2013.0,Action,Capcom,0,10000,0,67
Dark Sector,X360,2008.0,Shooter,D3Publisher,220000,200000,10000,61
Namco Museum: 50th Anniversary,XB,2005.0,Misc,Namco Bandai Games,130000,40000,0,80
Resident Evil Director's Cut,PS3,2006.0,Action,Capcom,0,0,50000,83
Midnight Club II,XB,2003.0,Racing,Take-Two Interactive,420000,60000,0,50
Triple Play 2002,XB,2002.0,Sports,Electronic Arts,190000,50000,0,54
Tetris Worlds,GBA,2001.0,Puzzle,THQ,1250000,390000,0,86
Prototype: Biohazard Bundle,XOne,2016.0,Action,Activision,10000,0,0,64
Diva Girls: Divas on Ice,DS,2009.0,Sports,505 Games,50000,0,0,58
Skylanders: SuperChargers,3DS,2015.0,Action,Activision,50000,60000,0,52
Chuck E. Cheese's Sports Games,Wii,2011.0,Sports,UFO Interactive,20000,0,0,94
Kingdom of Paradise,PSP,2005.0,Role-Playing,Sony Computer Entertainment,140000,0,0,58
Spider-Man 3,PC,2007.0,Platform,Activision,20000,0,0,52
The Getaway: Black Monday,PS2,2004.0,Action,Sony Computer Entertainment,390000,1010000,20000,92
Men in Black II: Alien Escape,GC,2003.0,Shooter,Infogrames,10000,0,0,88
Godzilla Generations,DC,1998.0,Action,Sega,0,0,80000,87
NBA Live 14,XOne,2013.0,Sports,Electronic Arts,160000,20000,0,58
Dynasty Warriors 2,PS2,2000.0,Action,THQ,240000,190000,340000,56
Brothers In Arms: Road to Hill 30,XB,2005.0,Shooter,Ubisoft,490000,140000,0,73
Fantastic Four: Rise of the Silver Surfer,Wii,2007.0,Action,Take-Two Interactive,40000,10000,0,75
Winning Post World 2010,PS3,2010.0,Sports,Tecmo Koei,0,0,40000,62
NHL 14,PS3,2013.0,Sports,Electronic Arts,280000,170000,0,81
LEGO Marvel Super Heroes,DS,2013.0,Action,Warner Bros. Interactive Entertainment,220000,130000,0,55
Kikiite Hajimaru: Eigo Kaiwa Training - KikiTore,DS,2008.0,Misc,Benesse,0,0,10000,97
Fighters Uncaged,X360,2010.0,Fighting,Ubisoft,310000,230000,0,74
The Godfather (US sales),XB,2006.0,Action,Electronic Arts,330000,100000,0,85
LEGO Star Wars III: The Clone Wars,DS,2011.0,Action,LucasArts,610000,380000,0,58
Pinball Hall of Fame: The Gottlieb Collection,Wii,2006.0,Misc,System 3 Arcade Software,120000,0,0,56
Army Men: Air Combat - The Elite Missions,GC,2003.0,Shooter,3DO,10000,0,0,75
Jikkyou Powerful Pro Yakyuu 2014,PS3,2014.0,Sports,Konami Digital Entertainment,0,0,170000,73
K-ON! Houkago Live!!,PSP,2010.0,Misc,Sega,0,0,250000,41
Rugby Challenge 3,X360,2016.0,Sports,Alternative Software,0,20000,0,62
Classic Dungeon: Fuyoku no Masoujin,PSP,2010.0,Role-Playing,Nippon Ichi Software,0,0,30000,49
Romancing SaGa 2,SNES,1993.0,Role-Playing,SquareSoft,0,0,1170000,43
Gameboy Gallery,GB,1995.0,Misc,Nintendo,0,0,300000,80
J.League Pro Soccer Club o Tsukurou! 8 Euro Plus,PSP,2013.0,Sports,Sega,0,0,40000,60
Melty Blood: Actress Again,PS2,2009.0,Fighting,Ecole,0,0,60000,79
Tom Clancy's HAWX 2,X360,2010.0,Action,Ubisoft,240000,90000,10000,72
Incredible Crisis,PS,1999.0,Action,Titus,40000,30000,0,80
Polaris SnoCross,PS,2000.0,Racing,Vatical Entertainment,90000,60000,0,48
Top Angler: Real Bass Fishing,PS2,2002.0,Sports,Xicat Interactive,50000,40000,0,57
Wipeout 2,X360,2011.0,Misc,Activision,250000,0,0,83
Deep Fear,SAT,1998.0,Adventure,Sega,0,0,80000,90
Deponia,PC,2012.0,Adventure,Daedalic,0,130000,0,63
Just Dance 4,X360,2012.0,Misc,Ubisoft,900000,190000,0,49
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15610000,10930000,3280000,86
You Don't Know Jack,X360,2011.0,Misc,THQ,190000,0,0,93
Activision Anthology,GBA,2003.0,Misc,Activision,30000,10000,0,43
.hack//Mutation Part 2,PS2,2002.0,Role-Playing,Atari,230000,180000,200000,77
Impossible Creatures,PC,2002.0,Strategy,Microsoft Game Studios,0,10000,0,50
Tiger Woods PGA Tour 2004,GBA,2003.0,Sports,Electronic Arts,130000,50000,0,98
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6160000,2040000,2690000,73
Brave: The Video Game,DS,2012.0,Action,Disney Interactive Studios,0,10000,0,55
Hitman Trilogy,PS2,2007.0,Action,Eidos Interactive,50000,40000,0,66
Powerdrome,PS2,2004.0,Racing,Evolved Games,30000,20000,0,73
Shin Megami Tensei NINE,XB,2002.0,Role-Playing,Atlus,0,0,50000,81
Sonic the Hedgehog,PS3,,Platform,,0,480000,0,96
Robotics;Notes,PSV,2014.0,Adventure,5pb,0,0,20000,62
Need for Speed: Most Wanted,XB,2005.0,Racing,Electronic Arts,530000,460000,0,79
Lucky Luke,PS,1998.0,Platform,Ocean,130000,90000,0,50
Spirit Camera: The Cursed Memoir,3DS,2012.0,Adventure,Nintendo,130000,20000,60000,40
Street Hoops,XB,2002.0,Sports,Activision,210000,60000,0,61
New Legends,XB,2002.0,Action,THQ,70000,20000,0,97
Battle Worlds: Kronos,PC,2016.0,Strategy,Nordic Games,0,10000,0,51
Cabela's North American Adventures,Wii,2010.0,Sports,Activision,190000,0,0,73
Midway Arcade Treasures 2,XB,2004.0,Misc,Midway Games,240000,50000,0,65
Ford Mustang: The Legend Lives,XB,2005.0,Racing,Take-Two Interactive,70000,20000,0,82
Rabbids Invasion: The Interactive TV Show,PS4,2014.0,Misc,Ubisoft,0,10000,0,67
Armored Core: Silent Line,PS2,2003.0,Simulation,Agetec,70000,60000,160000,75
Imagine: Teacher Class Trip,DS,2009.0,Adventure,Ubisoft,100000,120000,0,71
F1 2011,3DS,2011.0,Racing,Codemasters,70000,80000,0,73
Monsters vs. Aliens,PS3,2009.0,Action,Activision,210000,50000,0,79
NBA Live 2001,PS2,2001.0,Sports,Electronic Arts,520000,400000,40000,82
The Walking Dead: Season One,XOne,2014.0,Adventure,Telltale Games,80000,60000,0,93
TimeShift,X360,2007.0,Shooter,Vivendi Games,360000,20000,0,84
Middle-Earth: Shadow of Mordor,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,730000,500000,10000,87
Kirby's Return to Dreamland,Wii,2011.0,Platform,Nintendo,580000,210000,790000,72
Star Wars: Battlefront,PS2,2004.0,Shooter,LucasArts,1930000,1220000,30000,58
Ribbit King,GC,2003.0,Sports,Atari,40000,10000,0,46
Deception III: Dark Delusion,PS,1999.0,Role-Playing,Tecmo Koei,20000,10000,0,100
Kiniro no Corda 2,PS2,2007.0,Role-Playing,Tecmo Koei,0,0,60000,46
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,PS2,2003.0,Misc,Namco Bandai Games,0,0,440000,46
Team Elimination Games,Wii,2009.0,Misc,Ubisoft,70000,0,0,64
Transformers: Devastation,PC,2015.0,Action,Activision,0,30000,0,80
Pirates of the Caribbean: At World's End,PS2,2007.0,Action,Disney Interactive Studios,200000,160000,0,65
Fantavision,PS2,2000.0,Puzzle,Sony Computer Entertainment,140000,110000,190000,44
Chronicles of the Sword,PS,1996.0,Adventure,Psygnosis,30000,20000,0,81
Lethal Enforcers,SNES,1993.0,Shooter,Konami Digital Entertainment,0,0,90000,82
Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,2010.0,Shooter,Sega,60000,10000,0,91
Ultimate NES Remix,3DS,2014.0,Action,Unknown,150000,90000,0,57
Tales of the World: Reve Unitia,3DS,2014.0,Role-Playing,Namco Bandai Games,0,0,110000,72
Fritz Chess,Wii,2009.0,Strategy,Deep Silver,20000,0,0,63
Vitamin X to Z,PSP,2011.0,Adventure,D3Publisher,0,0,60000,56
Harry Potter and the Order of the Phoenix,PSP,2007.0,Action,Electronic Arts,100000,170000,0,72
Deception IV: Blood Ties,PSV,2014.0,Action,Tecmo Koei,20000,20000,70000,70
Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,2010.0,Misc,Hudson Soft,0,0,70000,99
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,GBA,2003.0,Adventure,Square Enix,0,0,360000,98
Conan,PS3,2007.0,Action,THQ,130000,150000,0,81
Sniper Elite 3,X360,2014.0,Shooter,505 Games,160000,120000,0,80
"Ni Hao, Kai-lan: New Year's Celebration",DS,2009.0,Misc,Take-Two Interactive,190000,0,0,93
Disney Infinity 3.0,XOne,2015.0,Action,Disney Interactive Studios,200000,110000,0,48
Binary Star,PSV,2014.0,Adventure,Idea Factory,0,0,10000,57
James Bond 007: Nightfire,GBA,2003.0,Shooter,Electronic Arts,100000,40000,0,87
Arcana Heart,PS2,2007.0,Fighting,AQ Interactive,60000,50000,40000,76
Dora the Explorer: Super Spies,GBA,2004.0,Platform,Gotham Games,440000,160000,0,52
MLB SlugFest 2006,PS2,2006.0,Sports,Midway Games,130000,100000,0,64
Football Manager 2005,PC,2004.0,Sports,Sega,0,10000,0,91
Tamagotchi Connection: Corner Shop 3,DS,2007.0,Simulation,Atari,60000,0,310000,80
Lunar: Silver Star Harmony,PSP,2009.0,Role-Playing,GungHo,190000,0,30000,81
Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999.0,Strategy,Namco Bandai Games,0,0,160000,92
Personal Trainer: Math,DS,2007.0,Puzzle,Nintendo,480000,1120000,0,57
Tokimeki Memorial Girl's Side 1st Love Plus,DS,2009.0,Adventure,Konami Digital Entertainment,0,0,30000,74
Alvin and the Chipmunks,Wii,2007.0,Misc,Eidos Interactive,50000,0,0,54
PowerSlave,PS,1996.0,Shooter,BMG Interactive Entertainment,20000,10000,0,99
Dead Rising 2: Off the Record,PC,2011.0,Action,Capcom,40000,20000,0,64
Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS,2010.0,Sports,Konami Digital Entertainment,0,0,100000,56
Tenchu: Stealth Assassins,PS,1997.0,Action,Activision,950000,640000,270000,40
Conflict: Denied Ops,X360,2008.0,Shooter,Eidos Interactive,80000,90000,0,82
Divinity II: Ego Draconis,PC,2009.0,Role-Playing,DTP Entertainment,10000,50000,0,52
Queen's Blade: Spiral Chaos,PSP,2009.0,Role-Playing,Namco Bandai Games,0,0,110000,43
Golden Nugget Casino,GBA,2004.0,Misc,Majesco Entertainment,180000,70000,0,76
Pool Hall Pro,Wii,2009.0,Sports,Playlogic Game Factory,40000,0,0,73
Tropico 3: Gold Edition,PC,2010.0,Strategy,Kalypso Media,0,10000,0,46
Aliens: Colonial Marines,PS3,2013.0,Shooter,Sega,200000,290000,0,81
Disney's The Emperor's New Groove,PS,2000.0,Platform,Sony Computer Entertainment,170000,120000,0,79
Adventure Time: Finn & Jake Investigations,3DS,2015.0,Action,Little Orbit,30000,50000,0,81
Football Manager 2013,PC,2012.0,Sports,Sega,0,950000,0,45
Wild West Shootout,Wii,2010.0,Shooter,Unknown,10000,10000,0,90
Toukiden Kiwami,PS4,2015.0,Action,Tecmo Koei,50000,70000,20000,75
The Binding of Isaac,PC,2012.0,Action,Unknown,0,30000,0,88
M&Ms Shell Shocked,PS,2001.0,Action,Berkeley,20000,10000,0,74
High School Musical: Sing It!,PS2,2007.0,Misc,Disney Interactive Studios,470000,80000,0,92
Frogger Advance: The Great Quest,GBA,2002.0,Action,Konami Digital Entertainment,50000,20000,0,55
NASCAR Unleashed,X360,2011.0,Racing,Activision,110000,0,0,51
Winning Post 8 2015,PSV,2015.0,Action,Tecmo Koei,0,0,20000,51
ExciteBots: Trick Racing,Wii,2009.0,Racing,Nintendo,240000,0,0,65
John Deere: Harvest in the Heartland,DS,2007.0,Simulation,Ubisoft,230000,30000,0,56
Bugs Bunny: Lost in Time,PS,1999.0,Platform,Infogrames,220000,150000,0,84
Bombastic,PS2,2002.0,Puzzle,Capcom,30000,20000,0,51
Imagine: Master Chef,DS,2007.0,Simulation,Ubisoft,390000,910000,0,84
Ice Hockey,2600,1980.0,Sports,Activision,460000,30000,0,69
Picture Perfect Hair Salon,DS,2009.0,Simulation,505 Games,70000,0,0,66
Battlefield 2: Modern Combat,PS2,2005.0,Shooter,Electronic Arts,370000,10000,0,87
Pro Race Driver,PS2,2002.0,Racing,Codemasters,130000,100000,0,59
AMF Xtreme Bowling,PS2,2006.0,Sports,Mastertronic,10000,10000,0,69
Pac 'n Roll,DS,2005.0,Platform,Namco Bandai Games,90000,0,20000,67
The Conveni: Ano Machi wo Dokusen Seyo,PS,1997.0,Simulation,Human Entertainment,0,0,300000,97
Hisshou Pachinko * Pachi-Slot Kouryaku Series Portable Vol. 2: CR Evangelion - Hajimari no Fukuin,PSP,2010.0,Misc,D3Publisher,0,0,20000,90
Sakura Sakura: Haru Urara,PSP,2010.0,Adventure,GN Software,0,0,10000,74
Legends of Wrestling II,GBA,2002.0,Fighting,Acclaim Entertainment,50000,20000,0,90
Tiger Woods PGA Tour 2003,GC,2002.0,Sports,Electronic Arts,180000,50000,0,93
Commando,2600,1987.0,Action,Activision,440000,20000,0,95
Super Puyo Puyo,SNES,1993.0,Puzzle,Banpresto,0,0,1690000,50
Just Dance 2016,PS4,2015.0,Misc,Ubisoft,170000,130000,0,72
To Heart 2 DX Plus,PS3,2011.0,Adventure,Aqua Plus,0,0,50000,93
Pinball Hall of Fame: The Gottlieb Collection,XB,2004.0,Misc,Crave Entertainment,60000,20000,0,92
Star Wars: Knights of the Old Republic,PC,2003.0,Role-Playing,LucasArts,10000,100000,0,61
Legend of the Guardians: The Owls of Ga'Hoole,X360,2010.0,Action,Warner Bros. Interactive Entertainment,60000,10000,0,93
Petz Wild Animals: Dolphinz,DS,2007.0,Simulation,Ubisoft,710000,480000,0,70
Cars: Race-O-Rama,X360,2009.0,Racing,THQ,140000,10000,0,65
7 Days to Die,PS4,2016.0,Action,Telltale Games,40000,80000,0,79
Akatsuki no Goei Trinity,PSP,2012.0,Adventure,5pb,0,0,10000,41
DS Uranai Seikatsu,DS,2009.0,Misc,Nintendo,0,0,70000,64
Minna no Chizu 2,PSP,2007.0,Misc,Zenrin,0,0,20000,57
Yoru no Nai Kuni,PS3,2015.0,Role-Playing,Tecmo Koei,0,0,50000,60
Secret Game Portable,PSP,2010.0,Adventure,Yeti,0,0,10000,69
Patapon 2,PSP,2008.0,Misc,Sony Computer Entertainment,0,30000,60000,96
House M.D.,DS,2010.0,Adventure,Mindscape,20000,0,0,64
Sniper: Ghost Warrior,X360,2010.0,Shooter,City Interactive,540000,500000,0,90
Dawn of Heroes,DS,2010.0,Role-Playing,Majesco Entertainment,70000,0,0,92
UNO / Skip-Bo / UNO Freefall,DS,2006.0,Misc,Zoo Digital Publishing,100000,0,0,57
Sherlock Holmes: Secret of The Silver Earring,Wii,2010.0,Adventure,Focus Home Interactive,0,30000,0,78
Max Payne 2: The Fall of Max Payne,XB,2003.0,Shooter,Take-Two Interactive,470000,150000,0,56
Conception II: Children of the Seven Stars,3DS,2013.0,Role-Playing,Screenlife,90000,0,30000,60
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,2009.0,Shooter,Activision,250000,10000,0,49
Conflict: Desert Storm,GC,2003.0,Shooter,SCi,60000,20000,0,68
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,PS2,2006.0,Shooter,Namco Bandai Games,0,0,490000,65
The Biggest Loser: Ultimate Workout,X360,2010.0,Sports,THQ,730000,100000,0,62
Modnation Racers: Road Trip,PSV,2012.0,Racing,Sony Computer Entertainment,150000,90000,0,67
Payday 2,X360,2013.0,Shooter,505 Games,330000,190000,0,46
Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013.0,Action,Namco Bandai Games,0,0,350000,75
Army Men: Sarge's Heroes 2,N64,2000.0,Shooter,3DO,340000,70000,0,74
The Sims: Bustin' Out,XB,2003.0,Simulation,Electronic Arts,400000,140000,0,50
NCAA Football 2004,PS2,2003.0,Sports,Electronic Arts,1350000,90000,0,64
Jig-A-Pix: Wild World,DS,2009.0,Puzzle,Zushi Games,30000,0,0,55
Deadpool,XOne,2015.0,Action,Activision,90000,30000,0,59
Trivial Pursuit,PS2,2009.0,Misc,Electronic Arts,90000,10000,0,40
Medal of Honor Heroes 2,Wii,2007.0,Shooter,Electronic Arts,330000,40000,10000,54
Deca Sports DS,DS,2009.0,Sports,Hudson Soft,70000,20000,0,53
Dead or Alive Paradise,PSP,2010.0,Misc,Ubisoft Annecy,70000,20000,70000,82
Chuugaku Eitango Target 1800 DS,DS,2006.0,Misc,IE Institute,0,0,70000,45
Assassin's Creed II: Discovery,DS,2009.0,Action,Ubisoft,150000,110000,0,78
Goodbye Deponia,PC,2013.0,Adventure,Daedalic Entertainment,0,60000,0,40
Tennis,NES,1984.0,Sports,Nintendo,480000,110000,1560000,72
Cabela's Dangerous Hunts 2,PS2,2005.0,Sports,Activision,190000,150000,0,95
Alvin and the Chipmunks: Chipwrecked,DS,2011.0,Misc,505 Games,60000,30000,0,62
Space Station Silicon Valley,N64,1997.0,Adventure,Take-Two Interactive,120000,30000,0,68
NHL 2K3,PS2,2002.0,Sports,Sega,100000,80000,0,56
Chou-Kuukan Night Pro Yakyuu King(higher JP sales),N64,1996.0,Sports,Imagineer,0,0,220000,84
nail'd,PS3,2010.0,Racing,Deep Silver,80000,20000,0,70
Rapala's Fishing Frenzy,Wii,2008.0,Sports,Activision,200000,0,0,40
My Animal Centre,Wii,2009.0,Simulation,Deep Silver,0,20000,0,74
PGA Tour 97,PS,1996.0,Sports,Electronic Arts,160000,110000,0,50
SpongeBob SquarePants: Plankton's Robotic Revenge,X360,2013.0,Shooter,Activision,40000,0,0,88
Raw Danger! (JP sales),PS2,2006.0,Action,505 Games,0,0,60000,57
Mystery Dungeon: Shiren the Wanderer,DS,2006.0,Role-Playing,Sega,170000,0,330000,96
Prince of Persia: The Forgotten Sands,X360,2010.0,Action,Ubisoft,300000,260000,0,56
Hitman (2016),PS4,2016.0,Action,Square Enix,0,40000,0,80
The Amazing Spider-Man 2 (2014),PS4,2014.0,Action,Activision,200000,250000,20000,41
The Naked Brothers Band: The Video Game,Wii,2008.0,Misc,THQ,190000,0,0,52
C.O.R.E.,DS,2009.0,Shooter,Graffiti,30000,0,0,51
Midway Arcade Treasures: Extended Play,PSP,2005.0,Misc,Midway Games,210000,0,0,75
Major Dream: Major Wii Nagero! Gyroball!!,Wii,2008.0,Sports,Takara Tomy,0,0,10000,79
Ace Combat: Assault Horizon Legacy,3DS,2011.0,Simulation,Namco Bandai Games,100000,60000,80000,52
Bakugan: Battle Brawlers,Wii,2009.0,Action,Activision,590000,30000,0,43
F1 2011,X360,2011.0,Racing,Codemasters,110000,500000,10000,73
The Walking Dead: Season One,PSV,2013.0,Adventure,Square Enix,100000,0,10000,91
Scooby-Doo! Classic Creep Capers,N64,2000.0,Action,THQ,300000,60000,0,51
Mirror's Edge,X360,2008.0,Platform,Electronic Arts,510000,510000,10000,99
Robert Ludlum's The Bourne Conspiracy,X360,,Action,Vivendi Games,260000,130000,0,90
Mega Man Battle Network,GBA,2001.0,Role-Playing,Capcom,140000,50000,220000,82
Need for Speed (2015),PS4,2015.0,Racing,Electronic Arts,500000,1500000,50000,41
Remember Me,PC,2013.0,Action,Capcom,0,50000,0,76
Hajime no Ippo Portable: Victorious Spirits,PSP,2007.0,Fighting,Grand Prix Games,0,0,60000,71
Pacific Liberator,Wii,2009.0,Action,Zoo Games,30000,0,0,91
MLB 07: The Show,PS3,2007.0,Sports,Sony Computer Entertainment,290000,0,0,63
Finding Nemo: Escape to the Big Blue,DS,2006.0,Action,THQ,120000,30000,0,100
Tom Clancy's Splinter Cell,GC,2003.0,Action,Ubisoft,180000,50000,0,75
Final Fantasy X-2: International + Last Mission,PS2,2004.0,Role-Playing,Square Enix,0,0,290000,83
Worldwide Soccer,SAT,1994.0,Sports,Sega,0,0,60000,55
Kids Learn Math: A+ Edition,DS,2011.0,Misc,Unknown,140000,0,0,74
Hiiro no Kakera: Shin Tamayori Hime Denshou - Piece of Future,PSP,2011.0,Adventure,Idea Factory,0,0,30000,62
Shin Megami Tensei: Persona 3,PS2,2006.0,Role-Playing,Tecmo Koei,220000,30000,0,99
HotBrain,PSP,2007.0,Puzzle,Midway Games,20000,0,0,93
Army Men: Sarge's Heroes 2,PS,2000.0,Shooter,3DO,140000,90000,0,100
Dragon's Lair 3D: Return to the Lair,XB,2002.0,Platform,Ubisoft,40000,10000,0,93
Smuggler's Run: Warzones,GC,2002.0,Misc,Take-Two Interactive,60000,20000,0,77
ESPN NFL Primetime 2002,PS2,2001.0,Sports,Konami Digital Entertainment,40000,30000,0,95
Wing Commander III: Heart of the Tiger,PS,1996.0,Action,Electronic Arts,90000,60000,0,41
Mario no Super Picross,SNES,1995.0,Puzzle,Nintendo,0,0,410000,98
Renegade Racers,PS,1999.0,Racing,Interplay,10000,10000,0,50
Hitman: Blood Money,PC,2006.0,Action,Eidos Interactive,0,30000,0,92
The Rub Rabbits!,DS,2005.0,Puzzle,Sega,30000,0,40000,65
FIFA 14,PSV,2013.0,Sports,Electronic Arts,80000,230000,10000,61
Saban's Power Rangers: Lightspeed Rescue,PS,2000.0,Action,THQ,190000,130000,0,46
BlazBlue: Continuum Shift II,3DS,2011.0,Fighting,PQube,50000,10000,40000,68
Psychic Force,PS,1996.0,Fighting,Acclaim Entertainment,10000,10000,130000,77
That's So Raven,GBA,2004.0,Adventure,Disney Interactive Studios,540000,200000,0,76
One Piece: Super Grand Battle! X,3DS,2014.0,Fighting,Namco Bandai Games,0,0,120000,40
Virtual Soccer,SNES,1993.0,Sports,Hudson Soft,0,0,530000,58
Kororinpa: Marble Mania,Wii,2006.0,Puzzle,Nintendo,80000,20000,30000,60
Bomberman,DS,2005.0,Puzzle,Ubisoft,100000,10000,30000,90
Danganronpa 2: Goodbye Despair,PSV,2014.0,Misc,Nippon Ichi Software,80000,50000,0,50
The Sims 2,GC,2005.0,Simulation,Electronic Arts,260000,70000,0,86
NCIS,PS3,2011.0,Adventure,Ubisoft,70000,40000,0,100
Bubble Bobble Double Shot,DS,2007.0,Puzzle,Rising Star Games,30000,0,0,91
Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,2016.0,Role-Playing,Tecmo Koei,0,0,30000,77
CSI: Unsolved!,DS,2010.0,Adventure,Ubisoft,130000,50000,0,60
Flushed Away,GC,2006.0,Platform,D3Publisher,120000,30000,0,43
Sega Golf Club: Miyazato San Kyoudai Naizou,PS3,2006.0,Sports,Sega,0,0,10000,99
Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,PSP,2012.0,Adventure,Idea Factory,0,0,30000,90
Charlie and the Chocolate Factory,GBA,2005.0,Adventure,Global Star,220000,80000,0,100
NCAA Football 11,PS3,2010.0,Sports,Electronic Arts,790000,0,0,56
