Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score,Generos,Plataformas,Empresa,Titulos
Max Payne,XB,2001,Shooter,Take-Two Interactive,980000,190000,0,52,8,28,448,4312
Tsuyo Kiss 2 Portable,PSP,2010,Adventure,NetRevo,0,0,20000,87,1,18,322,8048
Twisted Metal (2012),PS3,2012,Action,Sony Computer Entertainment,670000,70000,0,48,0,16,414,8067
Cabela's Trophy Bucks,Wii,2008,Sports,Activision Value,60000,0,0,100,10,25,23,932
Driv3r,PS2,2004,Racing,Atari,600000,470000,0,57,6,15,51,1949
Tokimeki Memorial 4,PSP,2009,Adventure,Konami Digital Entertainment,0,0,80000,100,1,18,254,7832
World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,80000,1240000,1130000,56,10,15,254,8510
J-League Soccer: Prime Goal,SNES,1993,Sports,Namco Bandai Games,0,0,690000,74,10,22,317,3383
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1620000,770000,2780000,98,7,14,423,2395
SD Gundam Force: Showdown!,PS2,2004,Shooter,Namco Bandai Games,20000,10000,0,45,8,15,317,6225
Armored Core: Last Raven Portable,PSP,2010,Simulation,From Software,0,0,30000,85,9,18,157,344
FaceBreaker,X360,2008,Fighting,Electronic Arts,150000,20000,0,67,2,27,131,2249
Kaboom!,2600,1980,Misc,Activision,1070000,70000,0,81,3,0,21,3614
Jurassic Park: Operation Genesis,XB,2003,Simulation,Konami Digital Entertainment,50000,10000,0,42,9,28,254,3578
Whirl Tour,GC,2002,Sports,Vivendi Games,40000,10000,0,54,10,7,492,8382
DuckTales: Remastered,PC,2013,Action,Capcom,0,10000,0,67,0,13,82,1968
Dark Sector,X360,2008,Shooter,D3Publisher,220000,200000,10000,61,8,27,104,1438
Namco Museum: 50th Anniversary,XB,2005,Misc,Namco Bandai Games,130000,40000,0,80,3,28,317,5041
Resident Evil Director's Cut,PS3,2006,Action,Capcom,0,0,50000,83,0,16,82,6011
Midnight Club II,XB,2003,Racing,Take-Two Interactive,420000,60000,0,50,6,28,448,4495
Triple Play 2002,XB,2002,Sports,Electronic Arts,190000,50000,0,54,10,28,131,8025
Tetris Worlds,GBA,2001,Puzzle,THQ,1250000,390000,0,86,5,6,442,7420
Prototype: Biohazard Bundle,XOne,2016,Action,Activision,10000,0,0,64,0,29,21,5773
Diva Girls: Divas on Ice,DS,2009,Sports,505 Games,50000,0,0,58,10,4,6,1730
Skylanders: SuperChargers,3DS,2015,Action,Activision,50000,60000,0,52,0,2,21,6681
Chuck E. Cheese's Sports Games,Wii,2011,Sports,UFO Interactive,20000,0,0,94,10,25,473,1125
Kingdom of Paradise,PSP,2005,Role-Playing,Sony Computer Entertainment,140000,0,0,58,7,18,414,3779
Spider-Man 3,PC,2007,Platform,Activision,20000,0,0,52,4,13,21,6838
The Getaway: Black Monday,PS2,2004,Action,Sony Computer Entertainment,390000,1010000,20000,92,0,15,414,7499
Men in Black II: Alien Escape,GC,2003,Shooter,Infogrames,10000,0,0,88,8,7,226,4424
Godzilla Generations,DC,1998,Action,Sega,0,0,80000,87,0,3,406,2764
NBA Live 14,XOne,2013,Sports,Electronic Arts,160000,20000,0,58,10,29,131,4888
Dynasty Warriors 2,PS2,2000,Action,THQ,240000,190000,340000,56,0,15,442,2002
Brothers In Arms: Road to Hill 30,XB,2005,Shooter,Ubisoft,490000,140000,0,73,8,28,474,824
Fantastic Four: Rise of the Silver Surfer,Wii,2007,Action,Take-Two Interactive,40000,10000,0,75,0,25,448,2302
Winning Post World 2010,PS3,2010,Sports,Tecmo Koei,0,0,40000,62,10,16,452,8438
NHL 14,PS3,2013,Sports,Electronic Arts,280000,170000,0,81,10,16,131,4991
LEGO Marvel Super Heroes,DS,2013,Action,Warner Bros. Interactive Entertainment,220000,130000,0,55,0,4,495,3894
Kikiite Hajimaru: Eigo Kaiwa Training - KikiTore,DS,2008,Misc,Benesse,0,0,10000,97,3,4,62,3732
Fighters Uncaged,X360,2010,Fighting,Ubisoft,310000,230000,0,74,2,27,474,2373
The Godfather (US sales),XB,2006,Action,Electronic Arts,330000,100000,0,85,0,28,131,7503
LEGO Star Wars III: The Clone Wars,DS,2011,Action,LucasArts,610000,380000,0,58,0,4,264,3903
Pinball Hall of Fame: The Gottlieb Collection,Wii,2006,Misc,System 3 Arcade Software,120000,0,0,56,3,25,436,5532
Army Men: Air Combat - The Elite Missions,GC,2003,Shooter,3DO,10000,0,0,75,8,7,4,354
Jikkyou Powerful Pro Yakyuu 2014,PS3,2014,Sports,Konami Digital Entertainment,0,0,170000,73,10,16,254,3506
K-ON! Houkago Live!!,PSP,2010,Misc,Sega,0,0,250000,41,3,18,406,3610
Rugby Challenge 3,X360,2016,Sports,Alternative Software,0,20000,0,62,10,27,31,6187
Classic Dungeon: Fuyoku no Masoujin,PSP,2010,Role-Playing,Nippon Ichi Software,0,0,30000,49,7,18,332,1147
Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,0,0,1170000,43,7,22,423,6162
Gameboy Gallery,GB,1995,Misc,Nintendo,0,0,300000,80,3,5,329,2649
J.League Pro Soccer Club o Tsukurou! 8 Euro Plus,PSP,2013,Sports,Sega,0,0,40000,60,10,18,406,3392
Melty Blood: Actress Again,PS2,2009,Fighting,Ecole,0,0,60000,79,2,15,128,4418
Tom Clancy's HAWX 2,X360,2010,Action,Ubisoft,240000,90000,10000,72,0,27,474,7868
Incredible Crisis,PS,1999,Action,Titus,40000,30000,0,80,0,14,461,3311
Polaris SnoCross,PS,2000,Racing,Vatical Entertainment,90000,60000,0,48,6,14,484,5621
Top Angler: Real Bass Fishing,PS2,2002,Sports,Xicat Interactive,50000,40000,0,57,10,15,499,7921
Wipeout 2,X360,2011,Misc,Activision,250000,0,0,83,3,27,21,8453
Deep Fear,SAT,1998,Adventure,Sega,0,0,80000,90,1,20,406,1518
Deponia,PC,2012,Adventure,Daedalic,0,130000,0,63,1,13,108,1553
Just Dance 4,X360,2012,Misc,Ubisoft,900000,190000,0,49,3,27,474,3591
Wii Sports Resort,Wii,2009,Sports,Nintendo,15610000,10930000,3280000,86,10,25,329,8401
You Don't Know Jack,X360,2011,Misc,THQ,190000,0,0,93,3,27,442,8645
Activision Anthology,GBA,2003,Misc,Activision,30000,10000,0,43,3,6,21,125
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,230000,180000,200000,77,7,15,51,5
Impossible Creatures,PC,2002,Strategy,Microsoft Game Studios,0,10000,0,50,11,13,296,3302
Tiger Woods PGA Tour 2004,GBA,2003,Sports,Electronic Arts,130000,50000,0,98,10,6,131,7792
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6160000,2040000,2690000,73,1,5,329,7129
Brave: The Video Game,DS,2012,Action,Disney Interactive Studios,0,10000,0,55,0,4,121,808
Hitman Trilogy,PS2,2007,Action,Eidos Interactive,50000,40000,0,66,0,15,130,3146
Powerdrome,PS2,2004,Racing,Evolved Games,30000,20000,0,73,6,15,144,5686
Shin Megami Tensei NINE,XB,2002,Role-Playing,Atlus,0,0,50000,81,7,28,53,6500
Sonic the Hedgehog,PS3,2010,Platform,Unknown,0,480000,0,96,4,16,478,6772
Robotics;Notes,PSV,2014,Adventure,5pb,0,0,20000,62,1,19,7,6104
Need for Speed: Most Wanted,XB,2005,Racing,Electronic Arts,530000,460000,0,79,6,28,131,5120
Lucky Luke,PS,1998,Platform,Ocean,130000,90000,0,50,4,14,342,4043
Spirit Camera: The Cursed Memoir,3DS,2012,Adventure,Nintendo,130000,20000,60000,40,1,2,329,6848
Street Hoops,XB,2002,Sports,Activision,210000,60000,0,61,10,28,21,7024
New Legends,XB,2002,Action,THQ,70000,20000,0,97,0,28,442,5152
Battle Worlds: Kronos,PC,2016,Strategy,Nordic Games,0,10000,0,51,11,13,337,560
Cabela's North American Adventures,Wii,2010,Sports,Activision,190000,0,0,73,10,25,21,927
Midway Arcade Treasures 2,XB,2004,Misc,Midway Games,240000,50000,0,65,3,28,298,4502
Ford Mustang: The Legend Lives,XB,2005,Racing,Take-Two Interactive,70000,20000,0,82,6,28,448,2481
Rabbids Invasion: The Interactive TV Show,PS4,2014,Misc,Ubisoft,0,10000,0,67,3,17,474,5854
Armored Core: Silent Line,PS2,2003,Simulation,Agetec,70000,60000,160000,75,9,15,27,347
Imagine: Teacher Class Trip,DS,2009,Adventure,Ubisoft,100000,120000,0,71,1,4,474,3296
F1 2011,3DS,2011,Racing,Codemasters,70000,80000,0,73,6,2,88,2199
Monsters vs. Aliens,PS3,2009,Action,Activision,210000,50000,0,79,0,16,21,4657
NBA Live 2001,PS2,2001,Sports,Electronic Arts,520000,400000,40000,82,10,15,131,4892
The Walking Dead: Season One,XOne,2014,Adventure,Telltale Games,80000,60000,0,93,1,29,454,7735
TimeShift,X360,2007,Shooter,Vivendi Games,360000,20000,0,84,8,27,492,7806
Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,730000,500000,10000,87,0,29,495,4492
Kirby's Return to Dreamland,Wii,2011,Platform,Nintendo,580000,210000,790000,72,4,25,329,3803
Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,1930000,1220000,30000,58,8,15,264,6948
Ribbit King,GC,2003,Sports,Atari,40000,10000,0,46,10,7,51,6038
Deception III: Dark Delusion,PS,1999,Role-Playing,Tecmo Koei,20000,10000,0,100,7,14,452,1516
Kiniro no Corda 2,PS2,2007,Role-Playing,Tecmo Koei,0,0,60000,46,7,15,452,3782
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,PS2,2003,Misc,Namco Bandai Games,0,0,440000,46,3,15,317,7291
Team Elimination Games,Wii,2009,Misc,Ubisoft,70000,0,0,64,3,25,474,7344
Transformers: Devastation,PC,2015,Action,Activision,0,30000,0,80,0,13,21,7991
Pirates of the Caribbean: At World's End,PS2,2007,Action,Disney Interactive Studios,200000,160000,0,65,0,15,121,5543
Fantavision,PS2,2000,Puzzle,Sony Computer Entertainment,140000,110000,190000,44,5,15,414,2307
Chronicles of the Sword,PS,1996,Adventure,Psygnosis,30000,20000,0,81,1,14,378,1117
Lethal Enforcers,SNES,1993,Shooter,Konami Digital Entertainment,0,0,90000,82,8,22,254,3962
Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,2010,Shooter,Sega,60000,10000,0,91,8,25,406,2906
Ultimate NES Remix,3DS,2014,Action,Unknown,150000,90000,0,57,0,2,478,8113
Tales of the World: Reve Unitia,3DS,2014,Role-Playing,Namco Bandai Games,0,0,110000,72,7,2,317,7325
Fritz Chess,Wii,2009,Strategy,Deep Silver,20000,0,0,63,11,25,115,2529
Vitamin X to Z,PSP,2011,Adventure,D3Publisher,0,0,60000,56,1,18,104,8245
Harry Potter and the Order of the Phoenix,PSP,2007,Action,Electronic Arts,100000,170000,0,72,0,18,131,3004
Deception IV: Blood Ties,PSV,2014,Action,Tecmo Koei,20000,20000,70000,70,0,19,452,1517
Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,2010,Misc,Hudson Soft,0,0,70000,99,3,18,210,4593
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,GBA,2003,Adventure,Square Enix,0,0,360000,98,1,6,422,6692
Conan,PS3,2007,Action,THQ,130000,150000,0,81,0,16,442,1229
Sniper Elite 3,X360,2014,Shooter,505 Games,160000,120000,0,80,8,27,6,6715
"Ni Hao, Kai-lan: New Year's Celebration",DS,2009,Misc,Take-Two Interactive,190000,0,0,93,3,4,448,5164
Disney Infinity 3.0,XOne,2015,Action,Disney Interactive Studios,200000,110000,0,48,0,29,121,1671
Binary Star,PSV,2014,Adventure,Idea Factory,0,0,10000,57,1,19,215,653
James Bond 007: Nightfire,GBA,2003,Shooter,Electronic Arts,100000,40000,0,87,8,6,131,3418
Arcana Heart,PS2,2007,Fighting,AQ Interactive,60000,50000,40000,76,2,15,11,315
Dora the Explorer: Super Spies,GBA,2004,Platform,Gotham Games,440000,160000,0,52,4,6,188,1791
MLB SlugFest 2006,PS2,2006,Sports,Midway Games,130000,100000,0,64,10,15,298,4101
Football Manager 2005,PC,2004,Sports,Sega,0,10000,0,91,10,13,406,2466
Tamagotchi Connection: Corner Shop 3,DS,2007,Simulation,Atari,60000,0,310000,80,9,4,51,7328
Lunar: Silver Star Harmony,PSP,2009,Role-Playing,GungHo,190000,0,30000,81,7,18,195,4059
Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999,Strategy,Namco Bandai Games,0,0,160000,92,11,14,317,6805
Personal Trainer: Math,DS,2007,Puzzle,Nintendo,480000,1120000,0,57,5,4,329,5461
Tokimeki Memorial Girl's Side 1st Love Plus,DS,2009,Adventure,Konami Digital Entertainment,0,0,30000,74,1,4,254,7833
Alvin and the Chipmunks,Wii,2007,Misc,Eidos Interactive,50000,0,0,54,3,25,130,238
PowerSlave,PS,1996,Shooter,BMG Interactive Entertainment,20000,10000,0,99,8,14,59,5683
Dead Rising 2: Off the Record,PC,2011,Action,Capcom,40000,20000,0,64,0,13,82,1477
Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS,2010,Sports,Konami Digital Entertainment,0,0,100000,56,10,4,254,7396
Tenchu: Stealth Assassins,PS,1997,Action,Activision,950000,640000,270000,40,0,14,21,7384
Conflict: Denied Ops,X360,2008,Shooter,Eidos Interactive,80000,90000,0,82,8,27,130,1234
Divinity II: Ego Draconis,PC,2009,Role-Playing,DTP Entertainment,10000,50000,0,52,7,13,107,1731
Queen's Blade: Spiral Chaos,PSP,2009,Role-Playing,Namco Bandai Games,0,0,110000,43,7,18,317,5823
Golden Nugget Casino,GBA,2004,Misc,Majesco Entertainment,180000,70000,0,76,3,6,272,2780
Pool Hall Pro,Wii,2009,Sports,Playlogic Game Factory,40000,0,0,73,10,25,369,5631
Tropico 3: Gold Edition,PC,2010,Strategy,Kalypso Media,0,10000,0,46,11,13,247,8033
Aliens: Colonial Marines,PS3,2013,Shooter,Sega,200000,290000,0,81,8,16,406,209
Disney's The Emperor's New Groove,PS,2000,Platform,Sony Computer Entertainment,170000,120000,0,79,4,14,414,1722
Adventure Time: Finn & Jake Investigations,3DS,2015,Action,Little Orbit,30000,50000,0,81,0,2,263,137
Football Manager 2013,PC,2012,Sports,Sega,0,950000,0,45,10,13,406,2470
Wild West Shootout,Wii,2010,Shooter,Unknown,10000,10000,0,90,8,25,478,8411
Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,50000,70000,20000,75,0,17,452,7966
The Binding of Isaac,PC,2012,Action,Unknown,0,30000,0,88,0,13,478,7448
M&Ms Shell Shocked,PS,2001,Action,Berkeley,20000,10000,0,74,0,14,63,4074
High School Musical: Sing It!,PS2,2007,Misc,Disney Interactive Studios,470000,80000,0,92,3,15,121,3113
Frogger Advance: The Great Quest,GBA,2002,Action,Konami Digital Entertainment,50000,20000,0,55,0,6,254,2533
NASCAR Unleashed,X360,2011,Racing,Activision,110000,0,0,51,6,27,21,4839
Winning Post 8 2015,PSV,2015,Action,Tecmo Koei,0,0,20000,51,0,19,452,8435
ExciteBots: Trick Racing,Wii,2009,Racing,Nintendo,240000,0,0,65,6,25,329,2156
John Deere: Harvest in the Heartland,DS,2007,Simulation,Ubisoft,230000,30000,0,56,9,4,474,3544
Bugs Bunny: Lost in Time,PS,1999,Platform,Infogrames,220000,150000,0,84,4,14,226,844
Bombastic,PS2,2002,Puzzle,Capcom,30000,20000,0,51,5,15,82,749
Imagine: Master Chef,DS,2007,Simulation,Ubisoft,390000,910000,0,84,9,4,474,3286
Ice Hockey,2600,1980,Sports,Activision,460000,30000,0,69,10,0,21,3260
Picture Perfect Hair Salon,DS,2009,Simulation,505 Games,70000,0,0,66,9,4,6,5523
Battlefield 2: Modern Combat,PS2,2005,Shooter,Electronic Arts,370000,10000,0,87,8,15,131,575
Pro Race Driver,PS2,2002,Racing,Codemasters,130000,100000,0,59,6,15,88,5735
AMF Xtreme Bowling,PS2,2006,Sports,Mastertronic,10000,10000,0,69,10,15,279,94
Pac 'n Roll,DS,2005,Platform,Namco Bandai Games,90000,0,20000,67,4,4,317,5367
The Conveni: Ano Machi wo Dokusen Seyo,PS,1997,Simulation,Human Entertainment,0,0,300000,97,9,14,211,7467
Hisshou Pachinko * Pachi-Slot Kouryaku Series Portable Vol. 2: CR Evangelion - Hajimari no Fukuin,PSP,2010,Misc,D3Publisher,0,0,20000,90,3,18,104,3132
Sakura Sakura: Haru Urara,PSP,2010,Adventure,GN Software,0,0,10000,74,1,18,166,6289
Legends of Wrestling II,GBA,2002,Fighting,Acclaim Entertainment,50000,20000,0,90,2,6,17,3941
Tiger Woods PGA Tour 2003,GC,2002,Sports,Electronic Arts,180000,50000,0,93,10,7,131,7791
Commando,2600,1987,Action,Activision,440000,20000,0,95,0,0,21,1223
Super Puyo Puyo,SNES,1993,Puzzle,Banpresto,0,0,1690000,50,5,22,61,7150
Just Dance 2016,PS4,2015,Misc,Ubisoft,170000,130000,0,72,3,17,474,3587
To Heart 2 DX Plus,PS3,2011,Adventure,Aqua Plus,0,0,50000,93,1,16,36,7819
Pinball Hall of Fame: The Gottlieb Collection,XB,2004,Misc,Crave Entertainment,60000,20000,0,92,3,28,96,5532
Star Wars: Knights of the Old Republic,PC,2003,Role-Playing,LucasArts,10000,100000,0,61,7,13,264,6957
Legend of the Guardians: The Owls of Ga'Hoole,X360,2010,Action,Warner Bros. Interactive Entertainment,60000,10000,0,93,0,27,495,3935
Petz Wild Animals: Dolphinz,DS,2007,Simulation,Ubisoft,710000,480000,0,70,9,4,474,5484
Cars: Race-O-Rama,X360,2009,Racing,THQ,140000,10000,0,65,6,27,442,1001
7 Days to Die,PS4,2016,Action,Telltale Games,40000,80000,0,79,0,17,454,65
Akatsuki no Goei Trinity,PSP,2012,Adventure,5pb,0,0,10000,41,1,18,7,187
DS Uranai Seikatsu,DS,2009,Misc,Nintendo,0,0,70000,64,3,4,329,1366
Minna no Chizu 2,PSP,2007,Misc,Zenrin,0,0,20000,57,3,18,508,4531
Yoru no Nai Kuni,PS3,2015,Role-Playing,Tecmo Koei,0,0,50000,60,7,16,452,8636
Secret Game Portable,PSP,2010,Adventure,Yeti,0,0,10000,69,1,18,505,6386
Patapon 2,PSP,2008,Misc,Sony Computer Entertainment,0,30000,60000,96,3,18,414,5428
House M.D.,DS,2010,Adventure,Mindscape,20000,0,0,64,1,4,302,3202
Sniper: Ghost Warrior,X360,2010,Shooter,City Interactive,540000,500000,0,90,8,27,85,6718
Dawn of Heroes,DS,2010,Role-Playing,Majesco Entertainment,70000,0,0,92,7,4,272,1466
UNO / Skip-Bo / UNO Freefall,DS,2006,Misc,Zoo Digital Publishing,100000,0,0,57,3,4,509,8093
Sherlock Holmes: Secret of The Silver Earring,Wii,2010,Adventure,Focus Home Interactive,0,30000,0,78,1,25,152,6484
Max Payne 2: The Fall of Max Payne,XB,2003,Shooter,Take-Two Interactive,470000,150000,0,56,8,28,448,4313
Conception II: Children of the Seven Stars,3DS,2013,Role-Playing,Screenlife,90000,0,30000,60,7,2,404,1230
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,2009,Shooter,Activision,250000,10000,0,49,8,15,21,7995
Conflict: Desert Storm,GC,2003,Shooter,SCi,60000,20000,0,68,8,7,397,1235
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,PS2,2006,Shooter,Namco Bandai Games,0,0,490000,65,8,15,317,4556
The Biggest Loser: Ultimate Workout,X360,2010,Sports,THQ,730000,100000,0,62,10,27,442,7447
Modnation Racers: Road Trip,PSV,2012,Racing,Sony Computer Entertainment,150000,90000,0,67,6,19,414,4580
Payday 2,X360,2013,Shooter,505 Games,330000,190000,0,46,8,27,6,5439
Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013,Action,Namco Bandai Games,0,0,350000,75,0,2,317,6437
Army Men: Sarge's Heroes 2,N64,2000,Shooter,3DO,340000,70000,0,74,8,10,4,357
The Sims: Bustin' Out,XB,2003,Simulation,Electronic Arts,400000,140000,0,50,9,28,131,7699
NCAA Football 2004,PS2,2003,Sports,Electronic Arts,1350000,90000,0,64,10,15,131,4932
Jig-A-Pix: Wild World,DS,2009,Puzzle,Zushi Games,30000,0,0,55,5,4,511,3477
Deadpool,XOne,2015,Action,Activision,90000,30000,0,59,0,29,21,1500
Trivial Pursuit,PS2,2009,Misc,Electronic Arts,90000,10000,0,40,3,15,131,8028
Medal of Honor Heroes 2,Wii,2007,Shooter,Electronic Arts,330000,40000,10000,54,8,25,131,4339
Deca Sports DS,DS,2009,Sports,Hudson Soft,70000,20000,0,53,10,4,210,1513
Dead or Alive Paradise,PSP,2010,Misc,Ubisoft Annecy,70000,20000,70000,82,3,18,475,1487
Chuugaku Eitango Target 1800 DS,DS,2006,Misc,IE Institute,0,0,70000,45,3,4,213,1127
Assassin's Creed II: Discovery,DS,2009,Action,Ubisoft,150000,110000,0,78,0,4,474,378
Goodbye Deponia,PC,2013,Adventure,Daedalic Entertainment,0,60000,0,40,1,13,109,2791
Tennis,NES,1984,Sports,Nintendo,480000,110000,1560000,72,10,11,329,7390
Cabela's Dangerous Hunts 2,PS2,2005,Sports,Activision,190000,150000,0,95,10,15,21,919
Alvin and the Chipmunks: Chipwrecked,DS,2011,Misc,505 Games,60000,30000,0,62,3,4,6,239
Space Station Silicon Valley,N64,1997,Adventure,Take-Two Interactive,120000,30000,0,68,1,10,448,6817
NHL 2K3,PS2,2002,Sports,Sega,100000,80000,0,56,10,15,406,5002
Chou-Kuukan Night Pro Yakyuu King(higher JP sales),N64,1996,Sports,Imagineer,0,0,220000,84,10,10,223,1111
nail'd,PS3,2010,Racing,Deep Silver,80000,20000,0,70,6,16,115,8772
Rapala's Fishing Frenzy,Wii,2008,Sports,Activision,200000,0,0,40,10,25,21,5894
My Animal Centre,Wii,2009,Simulation,Deep Silver,0,20000,0,74,9,25,115,4756
PGA Tour 97,PS,1996,Sports,Electronic Arts,160000,110000,0,50,10,14,131,5360
SpongeBob SquarePants: Plankton's Robotic Revenge,X360,2013,Shooter,Activision,40000,0,0,88,8,27,21,6865
Raw Danger! (JP sales),PS2,2006,Action,505 Games,0,0,60000,57,0,15,6,5917
Mystery Dungeon: Shiren the Wanderer,DS,2006,Role-Playing,Sega,170000,0,330000,96,7,4,406,4802
Prince of Persia: The Forgotten Sands,X360,2010,Action,Ubisoft,300000,260000,0,56,0,27,474,5704
Hitman (2016),PS4,2016,Action,Square Enix,0,40000,0,80,0,17,422,3144
The Amazing Spider-Man 2 (2014),PS4,2014,Action,Activision,200000,250000,20000,41,0,17,21,7436
The Naked Brothers Band: The Video Game,Wii,2008,Misc,THQ,190000,0,0,52,3,25,442,7639
C.O.R.E.,DS,2009,Shooter,Graffiti,30000,0,0,51,8,4,189,897
Midway Arcade Treasures: Extended Play,PSP,2005,Misc,Midway Games,210000,0,0,75,3,18,298,4504
Major Dream: Major Wii Nagero! Gyroball!!,Wii,2008,Sports,Takara Tomy,0,0,10000,79,10,25,447,4193
Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,Namco Bandai Games,100000,60000,80000,52,9,2,317,118
Bakugan: Battle Brawlers,Wii,2009,Action,Activision,590000,30000,0,43,0,25,21,471
F1 2011,X360,2011,Racing,Codemasters,110000,500000,10000,73,6,27,88,2199
The Walking Dead: Season One,PSV,2013,Adventure,Square Enix,100000,0,10000,91,1,19,422,7735
Scooby-Doo! Classic Creep Capers,N64,2000,Action,THQ,300000,60000,0,51,0,10,442,6363
Mirror's Edge,X360,2008,Platform,Electronic Arts,510000,510000,10000,99,4,27,131,4540
