Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
633,Portugal,"A strongly wood aged wine, powered by tannins and dense fruits, it is concentrated and still young enough for the wood to show through although the fruit is developing well. This is a structured wine that will need plenty of time to age so drink from 2018.",Casa Velha Colheita Seleccionada,90,33.0,Douro,,,Portuguese Red,Adega de Favaios
644,Portugal,"Vineyards in the upper Douro Superior region are able to produce surprisingly fresh and fruity whites like this, despite the heat and dry climate. Old vines go into this yellow and green fruit flavored wine with its lively acidity and totally refreshing palate. Drink from summer 2016.",Contraste Branco,90,19.0,Douro,,,Portuguese White,Conceito Vinhos
731,Portugal,"This is a light wine with plenty of acidity and soft tannins that come together in a juicy, crisp, red fruit-flavored medley. Ready to drink.",Oceanus Touriga Nacional-Cabernet Sauvignon,85,11.0,Tejo,,,Portuguese Red,Fiuza
740,Portugal,"This is an earthy blend of Touriga Nacional, Jaen and Trincadeira. Unencumbered by wood aromas, it's full of structured red berry fruit and balanced acidity and is ready to drink.",Encosta da Vinha,85,10.0,Dão,,,Portuguese Red,Boas Quintas
775,Portugal,"This is a serious, wood-aged wine whose ripe fruits are dominated at the moment by heavy toast flavors. The fruit does offer weight and good potential, making it a structured, dark wine that is beginning to suggest a juicy future. Drink from 2017.",Alma Grande Reserva,89,18.0,Douro,,,Portuguese Red,Caves Velhas
776,Portugal,"This is a herbal, earthy wine with as many tannins as fruit at this stage. That gives it a dense, dusty texture that seeps into the ripe, sweet plum flavors. With the wood giving an extra push of richness as well as spice, it needs to age. Drink from 2017.",D. Fuas Reserva,89,7.0,Terras do Dão,,,Portuguese Red,Caves Velhas
777,Portugal,"To judge by the weight of the bottle, this is regarded as an important wine by the producer. The wine inside is attractive and fruity, ripe with berry fruits and considerable freshness. The tannins give the power for the bottle, dry and dense at this young stage. Drink from 2017.",Magna Carta Reserva,89,17.0,Alentejano,,,Portuguese Red,Caves Velhas
882,Portugal,"This lightly wood-aged wine is slightly austere in style, with plum and blackberry tones providing weight. Some tannins and acidity accompany its fine, fruity core, giving a more serious note to this wine. Drink from 2018.",Seleção do Enólogo,92,11.0,Dão,,,Portuguese Red,Pedra Cancela
883,Portugal,"Still dark and dense, this young wine has power and structure on its side. The tannins and concentrated firm texture promise aging, allowing the big black fruits to be released. Made from vines in the Douro Superior; drink from 2017.",Vale de Cavalos,92,44.0,Douro,,,Portuguese Red,Poças
931,Portugal,"This is a serious, wood-aged wine whose ripe fruits are dominated at the moment by heavy toast flavors. The fruit does offer weight and good potential, making it a structured, dark wine that is beginning to suggest a juicy future. Drink from 2017.",Alma Grande Reserva,89,18.0,Douro,,,Portuguese Red,Caves Velhas
932,Portugal,"This is a herbal, earthy wine with as many tannins as fruit at this stage. That gives it a dense, dusty texture that seeps into the ripe, sweet plum flavors. With the wood giving an extra push of richness as well as spice, it needs to age. Drink from 2017.",D. Fuas Reserva,89,7.0,Terras do Dão,,,Portuguese Red,Caves Velhas
933,Portugal,"To judge by the weight of the bottle, this is regarded as an important wine by the producer. The wine inside is attractive and fruity, ripe with berry fruits and considerable freshness. The tannins give the power for the bottle, dry and dense at this young stage. Drink from 2017.",Magna Carta Reserva,89,17.0,Alentejano,,,Portuguese Red,Caves Velhas
950,Portugal,"Old vines of Tinta Francisca have produced a generous, full and concentrated wine. It is packed with forward berry fruits and as well as soft tannins that are finely integrated. The end is fresh, and always fruity.",Carvalhas,89,60.0,Douro,,,Tinta Francisca,Quinta das Carvalhas
957,Portugal,"A blend of Touriga Nacional and Touriga Franca, this dark-colored, serious wine is concentrated and structured. It offers black fruits, giving a brooding character that's full of power. The aftertaste with its acidity and juicy fruit is elevated and leaves with a lift.",Andreza,89,18.0,Douro,,,Portuguese Red,Wines & Winemakers
962,Portugal,"From grapes grown in the Douro Superior region, this is an open delicious fruity and ripe wine that is ready to drink. Its black currant and red berry tastes are balanced by spice, wood aged flavors and a core of tannins. The aftertaste introduces fresh juicy acidity.",Vale de Cavalos,90,18.0,Douro,,,Portuguese Red,Poças
972,Portugal,"This concentrated wine was wood aged for six months, giving the lightest touch of oak along with ripe yellow fruits and a crisp tangy aftertaste. It has a touch of spice along with bright acidity at the end. Drink now.",Terra d'Alter Reserva Branco,90,30.0,Alentejano,,,Portuguese White,Terras de Alter
993,Portugal,"With its typical prickle on the tongue, this is a medium sweet wine. It's clean, crisp and citrusy, with sliced apple and orange zest flavors. Drink now.",Campelo,85,10.0,Vinho Verde,,,Portuguese White,Caves Campelo
994,Portugal,"Lightly spritzy, this tastes of crisp apple and finishes just off-dry. It's deliciously refreshing, bright and tangy. Drink now.",Miranda,85,9.0,Vinho Verde,,,Portuguese White,Caves Campelo
995,Portugal,"This is a dry sparkling wine with tannins, spice and berry fruit, giving it a deep color. Not an apéritif wine, it's perfect for cutting through rich, oily foods. Drink now.",Plexus Tinto,85,7.0,Tejo,,,Alicante Bouschet,Adega Cooperativa do Cartaxo
996,Portugal,"This is a soft, creamy wine with fruitiness and a yeasty edge. Made from Bical, Arinto and Maria Gomes, it's ready to drink.",Blanc de Blancs Bruto,85,12.0,Beira Atlantico,,,Portuguese Sparkling,Adega de Cantanhede
1000,Portugal,"This yeasty wine is bone-dry, mature and ready to drink, a toasty element having replaced any fruitiness. The aftertaste is crisp and bright.",Brut Nature Reserva Arinto,85,28.0,Tejo,,,Portuguese Sparkling,Quinta da Lapa
1003,Portugal,"With hints of minerality typical of any wine from the Dão, this has tight, yeasty notes that contrast with its crisp, bright apple fruit. Drink now.",Cabriz Bruto,85,11.0,Dão,,,Portuguese Sparkling,Global Wines
1004,Portugal,"This wine balances swathes of ripe berry fruit with hints of tannin. It's fruity, full bodied and delicious to drink now. A great barbecue wine.",Cal Monte da Cal,85,7.0,Alentejano,,,Portuguese Red,Global Wines
1005,Portugal,"This is a classic style of Bairrada sparkling wine—a blend of Bical, Maria Gomes and Arinto. Plenty of crisp acidity and soft white fruit flavors balance its yeasty character. Drink now.",Encontro Q do E Blanco Bruto Classico,85,8.0,Bairrada,,,Portuguese Sparkling,Global Wines
1015,Portugal,"A wine for early drinking, this is soft, fruity and bright. With red berry flavor and gentle tannins, it's direct and packed with fruitiness. Drink now.",Pé Tinto,85,10.0,Portuguese Table Wine,,,Portuguese Red,Herdade do Esporão
1016,Portugal,"A soft and easy wine with black currant fruit and gentle tannins, this has just enough acidity and structure to hold it together. Spice adds interest on the finish. Drink now.",Monte da Cal Colheita Seleccionada,85,9.0,Alentejano,,,Portuguese Red,Global Wines
1025,Portugal,"This rich wine has a dense core of dark, dry tannins. The fruit, still taking its time to come through, is full of dark plum flavors and will soon show a fresher acidity. Wood aging, dark chocolate and a smoky character all bode well for the future. Drink from 2016.",Companhia daz Lezirias Reserva Tinto,91,35.0,Tejo,,,Portuguese Red,Wines & Winemakers
1026,Portugal,"This rich, sophisticated wood-aged wine has complex fruits, structure and tannins. Ripe, juicy black fruits are intertwined with a solidly dry texture, powerful but still elegant. It will repay aging. Drink from 2016.",Monte da Baía Reserva,91,17.0,Península de Setúbal,,,Portuguese Red,Wines & Winemakers
1027,Portugal,"A rich wine that is made by the Abreu Callado charity foundation. It has dark black currant fruits, big tannins and an elegant feel. With its structure, minerality and ripe, juicy fruitiness, it is finely structured and ageworthy. Drink from 2017.",Abreu Callado Reserva,91,22.0,Alentejano,,,Portuguese Red,Wines & Winemakers
1030,Portugal,"A powerfully tannic wine, full of the mineral texture and dark structure of a fine Douro wine. It has rich berry and plum skin flavors with underlining from acidity. The tannins, still young, promise aging. Drink from 2017.",Reserva,91,28.0,Douro,,,Portuguese Red,Quinta do Portal
1031,Portugal,"Already impressive, this wine is rich and packed with tannins and fruit. The structure gives a dry core that is cushioned by the sweet blackberry fruit flavors. The end shows the tannins again, along with fresh acidity, both suggesting aging. Drink from 2016.",Reserva,91,75.0,Douro,,,Portuguese Red,Quinta Nova de Nossa Senhora do Carmo
1033,Portugal,"With a significant proportion of Cabernet Sauvignon in the blend, this is a solid, tannic wine. It is also rich, complex and fruity. Fermentation in open lagares gives extra fruitiness, soft extract and great acidity. Drink from 2017.",Mythos,91,30.0,Tejo,,,Portuguese Red,Casal da Coelheira
1043,Portugal,"Made by a Spanish bodega with grapes from the Portuguese Douro, this is a sophisticated Douro wine that has a smooth, ripe texture underpinned with dry tannins. Now mature, it's very elegant. Drink now.",Drink & Dream D+D,91,,Douro,,,Portuguese Red,Emilio Moro
1045,Portugal,"This sophisticated wine is full of rich, beautifully integrated tropical and citrus fruits enhanced by an elegant use of wood. It feels rich, sumptuous and concentrated, while allowing for good acidity at the end. Drink from 2015.",Ikon,91,,Tejo,,,Portuguese White,Fiuza
1046,Portugal,"A big, ripe wine, it shows richness from the superripe grapes. It is bold, full-bodied and packed with juicy black fruits. It's like a fruit bomb, but structure holds it together. Drink from 2015.",Reserva,91,26.0,Alentejano,,,Petite Verdot,Herdade das Servas
1047,Portugal,"At this stage, this wine is dominated by wood. The black fruits underneath will take their time to bring together a wine that will show great perfumes, flavors of mushroom and truffles, and a dense texture. The aftertaste already has some of the right juicy acidity. Drink from 2017.",Ciconia,91,,Alentejano,,,Touriga Nacional,Herdade de São Miguel
1048,Portugal,"This wine is just starting out. With its initially austere structure and firm tannins, the juicy fruitiness and mineral character are still waiting to emerge. It will be a serious and structured wine in the next few years, evoking the granite of the Douro. Drink from 2016.",Domini,91,16.0,Douro,,,Portuguese Red,José Maria da Fonseca
1060,Portugal,"The wines has concentration, while also having rich, smooth fruits that exude blackberries, fresh acidity and just the right amount of wood to give complexity.  It's firm, but ready to drink.",Colheita,88,35.0,Dão,,,Portuguese Red,Vinha Paz
1206,Portugal,"Produced from vines grown in a boulder and fossil strewn vineyard, this is a rich smoky wine. It has a deep color from the Alicante Bouschet in the blend, with firm tannins and dark juicy plum skin flavors. It's going to be a ripe rich wine as it develops. Drink from 2017.",Stones & Bones,90,13.0,Lisboa,,,Portuguese Red,Casa Santos Lima
1234,Portugal,"This is a finely perfumed wine, full of ripe Castelão grapes. It has a smooth, polished feeling from the wood aging, yet still allows plenty of room for a dense black-fruit character. It will need to age and will be best after 2016.",Pegos Claros Reserva,92,17.0,Palmela,,,Castelão,Wines & Winemakers
1240,Portugal,"Aged for 14 months in oak, this is a rich, concentrated and dense yet smooth wine. Licorice and cassis combine, with some bitterness on the firm palate. Give it time for the tannins to mellow and harmonize a bit further; drink after 2016.",Reserva,92,53.0,Alentejano,,,Portuguese Red,Herdade Paço do Conde
1248,Portugal,"In the ownership of the Cálem family since the 19th century, Sagrado produces firmly structured wines. This dark and dense example is only just ready to drink. It is a powerful and juicy wine, full of opulent black fruits that are balanced by acidity.",Reserva,92,25.0,Douro,,,Portuguese Red,Quinta do Sagrado
1253,Portugal,"A fine,  wood-aged wine from the Dão's star white grape, it gives yellow fruit tones of apricot and peach, with toast and lees flavors providing a rich, full-bodied structure. The acidity cuts right through the palate, bringing out a lively, fresh aftertaste. Drink now, but the wine will be better in 2015.",Reserva,92,35.0,Dão,,,Encruzado,Druida
1257,Portugal,"A fine blend of the classic Douro grapes gives a complex and dark wine that's firm in tannin but also offers ample fruity richness. The wood aging has started the process of smoothing the tannins, working towards a ripe, full-bodied wine. Drink from 2016.",Terra a Terra Reserva,92,25.0,Douro,,,Portuguese Red,Quanta Terra
1260,Portugal,"This warm, ripe wine is open and ready to drink. With its bold red fruit and generous, well-integrated tannins, it's made for barbecues. Drink now.",Reserva,85,15.0,Tejo,,,Touriga Nacional-Cabernet Sauvignon,Falua
1274,Portugal,"A soft and ripe wine with spicy red fruit flavors cushioned by a smooth texture, this has well-embedded tannins and can be drunk young.",Tinto,85,15.0,Tejo,,,Portuguese Red,Quinta do Casal Branco
1275,Portugal,"Soft and smooth, this is a ripe and creamy wine. It has light acidity, pineapple and apricot flavors and a rounded aftertaste. Drink now.",Arinto-Fernão Pires,85,15.0,Tejo,,,Portuguese White,Quinta do Casal Monteiro
1283,Portugal,"Made to be drunk young, this wine gives a burst of ripe red fruit. The tannins are soft and open, balanced with acidity. The aftertaste is smooth and generous. Drink now.",Versátil Tinto,85,10.0,Alentejano,,,Portuguese Red,Casa Santa Vitória
1284,Portugal,"Named for the Servite convent in the town of Borba, this fresh, crisp and tangy wine is citric, with almond and apple overtones. It's young, fruity and made for immediate consumption.",Convento da Vila Branco,85,7.0,Alentejano,,,Portuguese White,Adega Cooperativa de Borba
1285,Portugal,"A typical Douro blend of Touriga Nacional, Tinta Roriz and Tinta Barroca, this wine is all about bright, crisp fruit. Black and red currant flavors come with tight acidity and a juicy character. Tightly wound now, it needs a few more months to calm down. Drink from 2018.",Caldas,85,14.0,Douro,,,Portuguese Red,Alves de Sousa
1288,Portugal,"According to legend, the Baron of Figuiera got his foot stuck in the stirrup while riding one day. He promised that where his horse stopped, he would build a chapel, and that's where this 2,100 foot high, cool-climate vineyard is today. The wine is crisp and fresh, with attractive citrus notes and plenty of refreshing acidity. Drink now.",Barão de Figueira Branco,85,10.0,Beira Interior,,,Siria,Companhia das Quintas
1324,Portugal,"A jammy, ripe wine that's deliciously full of plum jelly flavors. The dry, dusty tannins are in the background enhancing the structure although still leaving the rich fruit and wood flavors at the front. Drink this full-bodied wine from 2017.",Casaleiro Reserva,89,12.0,Tejo,,,Portuguese Red,Caves Velhas
1340,Portugal,"From one of the great names of Port, this LBV is a richly sweet wine, full of dried fruits, balanced acidity and a soft, smooth texture. It is a generous, very accessible wine.",Late Bottled Vintage,88,20.0,Port,,,Port,Delaforce
1357,Portugal,"Initially this wine is smooth and creamy textured. As it opens up it shows a cool, crisp character, with white apple fruits and layers of spice from wood aging. It's an elegant wine, very balanced already, but likely to age for several years. Drink now and until 2020.",Quinta do Encontro Encontro I Branco,91,40.0,Bairrada,,,Arinto,Dão Sul
1369,Portugal,"Tannins give a dark, mineral structure. The black fruits, slowly coming through, are still part of this serious purpose, with wood flavors and dry fruits prominent. It still needs aging, so don't drink before 2016.",Casa de Santar Reserva,91,22.0,Dão,,,Portuguese Red,Dão Sul
1374,Portugal,"Named after a 17th-century nun who lived nearby, this wine packs impressive power and concentration. A great weight of solid tannins are paired with luscious red fruits. Its density, dry core and layers of fruit and acidity promise good aging. Drink from 2017.",Mariana,91,,Alentejano,,,Portuguese Red,Herdade do Rocim
1378,Portugal,"Some wood aging has rounded out this fruity wine. But it has not radically changed its inherent fresh, crisp character. It shows apples, lemon and lime juice and just a touch of spice from wood. The wine is ready to drink but will be best if left until 2015.",Daphne,91,,Vinho Verde,,,Loureiro,Casal Paço Padreiro
1379,Portugal,"Still firmly tannic, this wine is densely structured and shows good potential. It has dark tannins and rich berry fruits, followed by a more juicy aftertaste. With power and style combining well, it should be aged. Drink from 2017.",Cabeça de Toiro Reserva,91,,Tejo,,,Portuguese Red,Caves Velhas
1497,Portugal,"Despite its richness, this is a stylish wine that exudes freshness as much as dense fruit and structure. A blend of Touriga Nacional, Syrah and Cabernet Sauvignon, all structured varieties, it still yields a generous full-bodied and rounded wine. It does need to age, so drink from 2018.",Maria Mora Enamorada,90,100.0,Alentejano,,,Portuguese Red,Magnum Vinhos
1530,Portugal,"Made to be drunk young, this wine gives a burst of ripe red fruit. The tannins are soft and open, balanced with acidity. The aftertaste is smooth and generous. Drink now.",Versátil Tinto,85,10.0,Alentejano,,,Portuguese Red,Casa Santa Vitória
1531,Portugal,"Named for the Servite convent in the town of Borba, this fresh, crisp and tangy wine is citric, with almond and apple overtones. It's young, fruity and made for immediate consumption.",Convento da Vila Branco,85,7.0,Alentejano,,,Portuguese White,Adega Cooperativa de Borba
1532,Portugal,"A typical Douro blend of Touriga Nacional, Tinta Roriz and Tinta Barroca, this wine is all about bright, crisp fruit. Black and red currant flavors come with tight acidity and a juicy character. Tightly wound now, it needs a few more months to calm down. Drink from 2018.",Caldas,85,14.0,Douro,,,Portuguese Red,Alves de Sousa
1539,Portugal,"A light wine with attractive berry flavors, this has a touch of caramel to go with its fruitiness and crisp acidity. Drink now.",,84,18.0,Alentejano,,,Rosé,Dona Maria-Júlio Bastos
1540,Portugal,"If you like your Sauvignon Blanc herbal, then this is the wine for you. It's very fruity and New World in style, has tight acidity and is ready to drink.",,84,,Tejo,,,Sauvignon Blanc,Quinta da Alorna
1542,Portugal,"This pleasant, fruity wine has lemon-lime crispness. Hints of apricot flavor prove the Alvarinho grape is far from its northern Portuguese homeland. Drink now.",Senses,84,13.0,Alentejano,,,Alvarinho,Adega Cooperativa de Borba
1543,Portugal,This blend of Arinto and Fernão Pires is soft and bland. Its light fruit and acidity feel open and ripe.,Azul Portugal,84,12.0,Palmela,,,Portuguese White,Wines & Winemakers
1548,Portugal,"This soft, yeasty and sweet blend of Fernão Pires and Bical is fruity with apple and pear flavors. It has just enough acidity to keep it crisp on the finish and makes an easy apéritif.",Plexus Branco,84,10.0,Tejo,,,Portuguese Sparkling,Adega Cooperativa do Cartaxo
1558,Portugal,"This medium-sweet rosé is a familiar style of local Portuguese wine. Fruity with raspberry flavor, it gives a slight a prickle on the tongue and has lively acidity. Drink now.",Campelo,84,10.0,Vinho Verde,,,Rosé,Caves Campelo
1559,Portugal,"Soft, light and fruity, this wine is ready for a warm day. Apple flavors and clean acidity balance its soft sweetness, making it ready to drink now. Intriguingly, its label resembles that of a much more familiar brand of Vinho Verde.",Casal da Seara,84,10.0,Vinho Verde,,,Portuguese White,Caves Campelo
1564,Portugal,"This estate wine is seriously structured, with tones of dried herbs alongside richer elements of dense tannins and ripe black fruits. A bright acid backbone maintains a fresh and lively character. It might be best to lay down this selection for further integration.",,92,23.0,Alentejano,,,Portuguese Red,Herdade do Rocim
1567,Portugal,"The rich, fruity core of this 100% Alfrocheiro wine is given polish and weight from time spend in a barrel. The fruit at the heart is dense, showing hints of dark chocolate and spice flavors, supported by structured tannins. This wine is ready to be consumed now.",,92,32.0,Dão,,,Alfrocheiro,Quinta de Lemos
1580,Portugal,"Merlot and Syrah join Tinta Roriz in this impressive wine. A fermentation in open lagars as well as time in oak give this blend richness and a deliciously juicy. Ripe and full bodied, it is ready to drink.",Vinha da Costa,91,58.0,Bairrada,,,Portuguese Red,Campolargo
1586,Portugal,"This is a smooth and generous wine. It is rich, full-bodied and packed with dark plum flavor, but it's the ripe, velvet character that is so appealing. It's almost ready to drink, although the firm tannins and minerality at the end suggest it will be better from 2016.",,91,22.0,Douro,,,Portuguese Red,Quinta de la Rosa
1588,Portugal,"From the eastern vineyards of the Douro, in Douro Superior, this estate wine is heavily structured while showing rich fruit and impressive tannins. The texture is strongly mineral, complex and hinting at the concentration from fruit grown in this hot, dry climate. Drink from 2016.",Quinta dos Quatro Ventos,91,22.0,Douro,,,Portuguese Red,Caves Aliança
1640,Portugal,"This is a powerfully wood-aged wine, rich and smoothly textured. Full of ripe yellow fruits with a hint of lemon and full-bodied, it is still developing. A touch of minerality and a steely edge add interest and further complexity. It needs to age, so wait until 2016.",Aguia Moura em Vinhas Velhas Reserva,90,18.0,Douro,,,Portuguese White,Wines & Winemakers
1641,Portugal,"This is a rich, fruity and juicy wine. Great swathes of blackberry combine with acidity and a solid core of tannins. Full of power, with a dense texture, this already delicious wine has some medium-term aging potential. Drink from 2016.",Reserva,90,15.0,Tejo,,,Portuguese Red,Novo Mundo
1643,Portugal,"A full-bodied wine, it shows strong vanilla flavor from oak aging and a rich, tropical feel. Lime and other citrus fruits give a crisp edge to this rounded wine that has concentration and final fruitiness. Drink from 2015.",Falcoaria,90,,Tejo,,,Fernão Pires,Quinta do Casal Branco
