description,country,variety
Coconut and dill aromas rise from the nose and they are surrounded by berry cassis and floral scents. The palate is tight honest and a little hard with middle-of-the-road berry flavors tinged with herbs. There's size and power to this wine but also balance. Compared to previous years it's a little less generous but still a good way to go.,Argentina,Cabernet Sauvignon
Warm earthy jammy berry aromas are oaky and bring a note of latex into the fold. This chunky Malbec is tannic and grabby with oaky flavors of black plum and vanilla set against herbal undertones. Spice chocolate carob and drawing tannins create a bold but rough finish.,Argentina,Malbec
Dark in color and forcefully oaked on the nose this resiny Malbec will appeal to fans of richly styled reds. Plum berry tomato leaf and herbal flavors finish woody but fair with lasting acidity.,Argentina,Malbec
Apricot and oak aromas make for a smoky slightly heavy bouquet. The wine keeps that weightiness as it passes from nectarine to citrus to tropical fruits. Long on the finish with integrity. But it's also a bit citric in the center. “Pulpy” is another descriptor.,Argentina,Chardonnay
Toast and char sit atop the bouquet like a heavy king on his throne but there's nothing fake or weak about it. The color is dark and the palate is round; flavors of black plum figs and black olives convey a meaty true personality amid all the char chocolate and vanilla. A good wine in the massive category that is value-priced Merlot.,Argentina,Merlot
Aromas of blackberry and briar patch expand to include violet notes. In the mouth there's pulpy weight to the fruit and rubbery tannins for framing. Rugged but generic black-fruit flavors finish with toasty darkness and some burn.,Argentina,Cabernet Sauvignon
Olive saucy berry and a sense of rawness on the nose drive this Malbec towards a solid but slightly scratchy feeling palate. Plum blackberry and minty oak flavors are short and lightly herbal while this ends without much force.,Argentina,Malbec
Rubbery gaseous initial aromas give way to piquant red-fruit notes. This feels lean racy and very high in acidity. Limited flavors of currant tomato and salty red plum finish with herbal notes and persistent saltiness as well as abrasive acidity.,Argentina,Malbec
Leathery aromas of horseradish and stewed berries lead to a rooty syrupy palate. Flavors of cola chocolate and raisin are creamy as a whole. This tastes ripe on the finish with raisin and oxidized notes. This Merlot-Cabernet-Malbec blend has its strong points but comes across baked and raisiny.,Argentina,Bordeaux-style Red Blend
This is herbal and clipped smelling with a scattering of berry and plum notes. It feels saturated and chewy with roasted berry pepper and spice flavors that lead to a lightly herbal finish with a rubbery accent and a baked fruit note.,Argentina,Bonarda
This screaming violet-colored chunkster is big and blocky up front with aromas of vitamins and grapy black fruits. A giant palate holds big tannins while heady flavors of black plum and oak spice finish minty toasty and with power.,Argentina,Malbec
Rather sweet and medicinal; the wine comes into form on the palate which is fairly bright and forward as it pushes raspberry and cherry flavors. Acidity is on the high side so the feel and finish have some burn. Could use some pizza or meat to help it along.,Argentina,Cabernet Sauvignon
Light floral and somewhat out of the mold. Flavors of apricot peach and mango are both fresh and fleshy while the finish lingers for quite some time. Fairly forceful but restrained enough.,Argentina,Chardonnay
Round nutty and smooth with melon citrus and apple flavors. In this wine's case organic does not equal complexity. That said what's here is clean and balanced and there's more than enough fruit and intensity to satisfy.,Argentina,Chardonnay
Timing is everything with this full-bodied PG. Get at it right away and it will still be almost viscous but it should also show ripe tropical fruit flavors core acidity and lots of personality. Just don't let it hang around for long especially not at room temperature.,Argentina,Pinot Grigio
Tropical aromas of lychee and honeydew set up a straightforward palate. Powdery flavors of green melon and lychee are light and flowery on a modest finish.,Argentina,Torrontés
Aromas of dish soap and fruit salad show on the nose while the palate brings pink grapefruit and orange. A citric finish with a peppery note lacks acidity so drink now.,Argentina,Rosé
Flat aromas of lanolin and oily white fruits lead to a round full palate that's getting tired. Salty nectarine and flowery flavors finish with a yeasty note of ham and white fruits.,Argentina,Torrontés
Lightly spicy raspberry aromas are raw and peppery. This feels fleshy and pulpy with punchy acidity. Peppery berry flavors are boosted by toasty oak that carries over to a mildly hot finish.,Argentina,Malbec
This youthful pink-colored number smells of dusty cherry and Lifesavers. A juicy palate has a soda-like feel while flavors of raspberry and cherry are light and dilute across the finish.,Argentina,Rosé
Lime and tangerine aromas are light and dusty with a yeasty note. This feels mostly sound but basic with leesy melony flavors. On the finish this loses intensity and turns bready in flavor and soft in feel.,Argentina,Viognier
Reedy green-leaning aromas of plum and raspberry feed into a creamy palate. This tastes primarily of herbal red-berry fruits that finish oaky dry and spicy.,Argentina,Malbec
Dry earthy herbal aromas of tomato red-berry fruits and oak set up a full palate with pounding tannins. This tastes roasted and herbal with notes of bell pepper tomato and creamy oak. A hard-tannin finish confirms that this Merlot skipped charm school.,Argentina,Merlot
Oily aromas of citrus peel and lychee set up a lemony palate with pyrazine-influenced citrus flavors. Lychee is the lead flavor on a finish that's mildly bitter.,Argentina,White Blend
Opens with rooty baked aromas before finding its legs and plenty of ripe attractive berry fruit. The palate is juicy and solid with good acidity and nice flavors of wild berry chocolate and toast. Stylish and very solid. Definitely a food-friendly Malbec.,Argentina,Malbec
Solid and smooth from the beginning with cola pastry and blackberry aromas. The palate is fresh full and healthy with cola black pepper and a ton of berry push. Toasty and roasted on the finish where coffee comes into play. Right on the spot for value-priced Malbec.,Argentina,Malbec
Floral hints latex vanilla oak and ripe berry aromas all show up on a fine bouquet. Ripe and creamy in feel it holds dark hard-pushing flavors of licorice anise coffee and blackberry. There's agility elegance and complexity to this Malbec. Drink through 2017.,Argentina,Malbec
Damp foresty stalky aromas are backed by a chunky slightly sticky feeling palate. Black cherry and mocha flavors set the stage for a ripe finish with brown-sugar sweetness.,Argentina,Malbec
Salmon-colored and spritzy this rosé of Pinot Grigio smells stony and peachy. A zesty palate has sizzle and zest to it while stone-fruit and minerally flavors are salty prior to a mildly bitter finish that tastes of pithy citrus.,Argentina,Rosado
Cinnamon and licorice gumdrop and sketchy cherry cough drop aromas make up the nose on this cloying Cab that also shows hard tannins. Baked berry and brown sugar flavors finish with little sizzle or balance.,Argentina,Cabernet Sauvignon
Aromas of blueberry and cinnamon smell odd and forced. A wiry-feeling palate runs on punchy acidity while short flavors of currant and raspberry are oaky and finish with little structure or character.,Argentina,Red Blend
This is stalky grassy and peppery smelling with red-berry aromas. Rawness and sharp acidity keep the pulse up as basic flavors of plum and raisin take over. A modest finish keeps the course without evolving.,Argentina,Malbec
Blackberry and cassis aromas share the bouquet with tougher more masculine notes of earth rubber and char. Once it opens on the palate there's ripe raspberry plum and a nod to the black side of the fruit spectrum. Finishes with a mild kick of tannins and the essence of coffee and pepper. A solid blend of Cabernet and Merlot from the improving Uco Valley.,Argentina,Cabernet Sauvignon-Merlot
Black plum cola and chocolate define this textbook Malbec. The wine has body heft and lots of fruit but also some complexity and character. Flavors of black cherry plum and cassis are layered and fairly boisterous while the mouthfeel is firm and just slightly tannic. Just right for red meats and pastas.,Argentina,Malbec
Initial plum and berry aromas fall off with airing and reveal notes of chemical and chewing gum dust. On the palate this blend of 60% Malbec and 40% Tannat is chewy sticky and flat. Modest but sweet berry flavors veer toward molasses prior to finishing without much acidity or verve.,Argentina,Malbec-Tannat
Aromas of latex plastic clove and wild berry fruits try to come together. A hard high-acid palate is narrow and choppy with biting tannins while a salty flavor profile that includes blackberry finishes woody and savory with a lasting taste of clove.,Argentina,Malbec-Cabernet Franc
Gritty roasted berry aromas are rubbery and hint at Band-Aids. In the mouth this is O.K. in feel albeit a bit jammy and thick. Short generic berry flavors come with minty accents and some green on the finish.,Argentina,Cabernet Sauvignon
Dry spicy aromas aren't overly ripe or expressive. In the mouth this basic Cab is raw racy and spiky in feel. Flavors of herbal red-berry fruits are leafy while finishing flavors of carob and pepper register as adequate.,Argentina,Cabernet Sauvignon
Dusty aromas of balloon rubber and apple juice are sketchy but in the mouth this is fair and balanced. Flavors of lychee mango candy and sweet papaya finish soft and lightly oxidized.,Argentina,Moscato
Aggressive smelling early on but then it settles on classy raspberry cassis and herbs. The palate is very healthy juicy rich and big but the flavors of dark berry fruit are subtle and smooth. Chunky sweet and ripe on the finish. A Malbec to drink this winter. Only 300 cases produced.,Argentina,Malbec
Grassy stalky berry aromas lean towards green. This feels grippy while spicy herbal berry flavors stay the course and finish with minty green notes on top of basic plum and berry.,Argentina,Cabernet Sauvignon
Briny cidery aromas are a touch stale. This has a basic citrusy mouthfeel along with flavors of orange and tangerine that turn mildly bitter and pithy on the finish.,Argentina,Viognier
Chunky broad and slightly rubbery smelling with baked aromas leather and other more serious scents. The palate is full-bodied and warm but not all that complex. Flavors of baked plums cassis and licorice are nice and the finish brings chocolate brownie into the game. For immediate drinking.,Argentina,Cabernet Sauvignon
There's no denying the fact that this smells stalky and burnt with leathery fruit aromas. In the mouth it's choppy with scratchy acidity leading to a loud flavor profile with stalky berry raisin and stewed flavors. Heat and additional roasted notes drive the finish on this Malbec.,Argentina,Malbec
This is exceedingly ripe tasting with a syrupy texture. Along the way you'll encounter tar and rubber aromas in front of flavors such as carob vanilla and stewed berry fruits. A minty oaky finish is the final weighty act.,Argentina,Malbec
Pencil eraser iodine latex and blueberry aromas settle better than they start. In the mouth this is saturated and chunky in feel with toasty flavors of blackberry licorice and mint that finish long herbal and loamy.,Argentina,Malbec
Racy plum and cherry aromas lead to an edgy palate with bold acidity. Crisp foxy flavors of raspberry and plum finish spicy and with pronounced acidity. This wine emphasizes acidity and freshness over ripeness and heft.,Argentina,Malbec
Strapping currant and berry aromas come with a full dosage of toasty oak. This Malbec feels sinewy with good depth. Oaky notes of toast and blackened spice lend a chocolaty essence to berry and plum flavors while this finishes with an herbal spicy aftertaste.,Argentina,Malbec
Aromas of sweet melon and honey suggest an innocuous quality that's confirmed on the palate where basic apple and pear flavors come across a bit sweet. Finishes with some scour and a little harshness.,Argentina,Chardonnay
Lightly brambled and ever so slightly green with pleasant strawberry and raspberry aromas. The mouthfeel is a touch choppy and grabby but it's not too thin and rough to make it unpleasant. Not bad for the price.,Argentina,Tempranillo
Blackberry and cassis aromas blend seamlessly with varietal scents of herbs and leaves. This Cab Franc feels crisp yet flush with laudable structure and vital acidity. Flavors of leafy spicy berry and plum finish with peppery notes a jolt of salinity and heft.,Argentina,Cabernet Franc
Apple and white fruit aromas set up a balanced reasonably full palate with banana creamy oak vanilla and apple flavors. It feels solid and round with a clean finish.,Argentina,Chardonnay
Foxy and jumpy smelling at first with brambly raspberry aromas. The palate feels heavy and baked with grabby tannins in support of herbal mildly weedy berry fruit flavors. Finishes saucy with a hint of tomato. Not pure and focused like the La Flor Malbec.,Argentina,Cabernet Sauvignon
Basic apricot and peach aromas lead to melon banana and pithy flavors. The palate is a little thick and mealy while the finish has pretty good feel and length but not much flavor. Slightly tropical and simple.,Argentina,Chardonnay
Sharp minty aromas mixed with stemmy red fruit set up a modest middleweight palate of semisweet generic red fruit flavors. Quick on the finish with a spot of green flavor. Good enough but lacks the concentration and deeper aromas and flavors of Urban Malbec.,Argentina,Tempranillo
Aromas of white grapefruit celery and other prickly fruits lose steam with airing while the green apple and lime flavors are solid and offer some sweetness. Wet in the mouth which is what you want but standard fare as a whole.,Argentina,Sauvignon Blanc
Lime and green melon aromas are a bit less than clean and pure and the palate serves up a pile of jalapeño and bell pepper with some lime in the background. Short on the finish and kind of dilute.,Argentina,Sauvignon Blanc
Mildly smoky and toasty aromas lead to a lightly oaked palate that's largely defined by black cherry and some rich berry syrup. It's a full colorful Syrah with a chunky mouthfeel and a satisfying but short finish. Drink now.,Argentina,Syrah
Better than most Argentinean Sauvignon Blancs and made in a fuller-bodied style. The nose has weight and wax aromas as well as melon and the palate features ripe almost pithy citrus. Dried apricot and a nick of passion fruit work the finish. Drink immediately.,Argentina,Sauvignon Blanc
Cherry cassis and root beer aromas are appealing. In the mouth this is wall-to-wall rough due to fierce tannins. Baked berry flavors are blocky and simmer away on a rugged finish.,Argentina,Malbec
Loamy berry aromas smell a bit like wet clay and earth. This is fairly well structured with grippy tannins. Baked savory oaky berry flavors finish with wood spice clove and light herbal notes.,Argentina,Cabernet Sauvignon
Earthy black-fruit aromas set up a rubbery heavy palate with plenty of oak and related resin. This tastes mostly of oak and clove with savory blackberry notes resting at the base. A solid salty choppy finish shows a tight grip and moderate roughness.,Argentina,Malbec
Recuerdo is the house brand from the Vines of Mendoza project which is relying on young Tupungato vineyards that expand annually. This vintage shows floral berry aromas along with Middle East spice notes of cumin and curry. In the mouth it's sharp and hollow like an elevator that skips floors. Clipped flavors of boysenberry are acidic while the finish lacks substance.,Argentina,Malbec
Earthy deep and true to its Uco Valley roots; this is a very good and fairly serious Malbec that doesn't try to overstep its natural limitations. It's not too extracted or oaky but instead delivers robust blackberry plum and caramel flavors backed by a warm mildly oaky finish with menthol and mocha. Drink now into 2010.,Argentina,Malbec
Tomero is a new line from the Carlos Pulenta group and this one sings the tale of Salta with sincerity. You get telling acacia and lychee aromas but none of the cheap perfume that can sometimes ruin the variety. The palate is lightly oily but linear while the papaya citrus and melon flavors just roll along.,Argentina,Torrontés
An intense forward style of Malbec. The nose oozes a mixture of mint black-fruit extract and shoe polish while the saturated palate is racy and just rich enough; the flavors of blackberry and plum are lively with coffee and mocha accents on the finish. A bit acidic and racy but that won't hurt it if served with food.,Argentina,Malbec
Fresh and reasonably fruity on the nose but it's also slightly gritty and tough. Shows medium weight and intensity in the mouth with a medicinal red-berry flavor accented by spice and herb notes. It finishes dry and mildly oaky.,Argentina,Malbec
A blackened wine with piercing dense aromas of shoe polish charred oak dark spice and black fruit. It feels solid and juicy with black-tasting flavors that focus on espresso and dark spice. The finish is a bit short on fruit.,Argentina,Malbec
This blend of 88% Cabernet Sauvignon and 12% Cabernet Franc is rustic smelling with a rubbery tannic mouthfeel and flavors of roasted plum and berry. Let this wine aerate to show its best.,Argentina,Cabernet Blend
Black in color this wine has reduced aromas of blueberry cumin and bitter chocolate. Thick and generous in the mouth but also rugged with sweet blackberry and bacon flavors and a lot of toasty-oak influence.,Argentina,Malbec
Solid on the bouquet this has notes of dark fruit and smoke with an almond-like sweetness. Big bulky and bullish in the mouth it has roasted meaty flavors that include campfire smoke flamed meat and black fruit. The finish tastes charred but feels healthy and lively.,Argentina,Malbec
“Cocina” means “the kitchen” in Spanish and this blend of Malbec Bonarda and Syrah is definitely a kitchen-sink type of wine. It's stout a bit reduced and tinny at first but with air it turns into a nice simple chunkster with plump baked-fruit flavors and a soft but structured chocolaty finish. Drink now.,Argentina,Red Blend
Rubbery and smoky at first with leather and berry fruit running secondary to the wine's more reduced qualities. But if given ten minutes to unwind it shows wide black-fruit flavors creaminess and finally some barrel-based resin. Gets better the more you work with it but will always register as “oaky.”,Argentina,Malbec
Tropical aromas revolve around lemon-lime. This is acidic without much body. Flavors of lemon melon mango and green apple are lean and finish with tangy pithy citrus flavors.,Argentina,Chardonnay
Leafy green aromas suggest eucalyptus and a briar patch. A lean palate offers aroma-matching flavors of green herbs along with plum cherry and clay notes. This is oaky and resiny tasting on the finish and hot as well.,Argentina,Cabernet Sauvignon
Wiry briary currant and herbal aromas announce a hard but juicy wine with buttery oak salty red fruit flavors and a loud herbal angle. This is both briny tasting and a touch weedy on the finish.,Argentina,Cabernet Sauvignon
Cola plum and red-currant aromas set up a tight palate with clamping tannins. Flavors of black cherry cassis plum and chocolate are lasting across the finish. This needs hearty food additional airing or both to show its best.,Argentina,Cabernet Sauvignon
Aromas of prune blackberry lemon peel and shoe polish are dark and earthy. This feels full and chewy with hard tannins. Dark toasty black-fruit flavors come with herbal notes and wood spice flavors while this tastes herbal oaky minty and like clove on the finish.,Argentina,Cabernet Sauvignon
Odd aromas of curried meat and iodine are more unusual than off-putting. This feels a bit wide and heavy with flatness to the palate. Flavors of roasted plum and savory spices suggest lamb curry while this feels robust and aggressive on a slightly hot finish.,Argentina,Malbec
Aromas of apple cider peach and oak lead to a full palate. Flavors of melon and banana have a nutty quality while this is stable on the finish with tropical fruit and honeyed flavors. Drink now.,Argentina,Chardonnay
This Bonarda could be your everyday red or house pour with no issues. Solid berry aromas are fairly woody and a bit earthy. A bouncy fresh palate is cheerful while flavors of plum blackberry cassis and spices are toasty and forward-moving on the finish.,Argentina,Bonarda
Saucy earthy berry aromas are full of oak and clove notes. This wine feels full but not too heavy with solid overall balance. Blackberry dark plum toast and spicy oak flavors finish peppery and stout with ripe chewy tannins. Drink through 2022.,Argentina,Malbec
Apartado a high-flying Bordeaux blend of Malbec Cabernet and Merlot shows up only occasionally but when it does it shines. This vintage is stunning; the black cherry and wild berry flavors are lively and honest while the wine's structure is just where it should be. With a juicy steak or lamb chops this wine will bowl you over.,Argentina,Bordeaux-style Red Blend
This Malbec-led blend is quite oaky thus maple molasses and chocolate aromas ride high alongside blackberry and mild floral notes. In the mouth this is quasi-syrupy and very rich. Flavors of baked black fruits and brown sugar finish sticky with chunky weight. Drink through 2018.,Argentina,Bordeaux-style Red Blend
Rubbery foxy aromas of blueberry blackberry cured meats and spice are packed into an ideal whole. This Cab Franc is rich and flush in feel with good acidity and balance. An herbal saucy element accents core berry fruit while the finish is full of coffee chocolate grilled meat and jammy berry flavors. Drink through 2020.,Argentina,Cabernet Franc
A mixture of coconut cedar and marzipan scents along with gritty briary black-fruit aromas precedes a lively palate with weight power and balance. Flavors of berry plum and cassis are bold oaky and chocolaty while the finish hits hard with mocha caramel and vanilla notes offset by bright acidity. Drink through 2018.,Argentina,Red Blend
Savory scents a whiff of animal and jammy berry aromas set up a large palate with choppy tannins and lots of breadth. This Malbec-lead blend shows roasted rubbery black-fruit flavors and a fairly smooth but oaky finish.,Argentina,Red Blend
Dense aromas of prune and raisin scream “overripe.” In the mouth this is heavy saturated and stewy in feel. Flavors of crème de cassis and brandied cherry finish baked and raisiny. Drink now.,Argentina,Malbec
This waxy heavily oaked Chardonnay regularly pulls the same score. This vintage has aromas of grapefruit quince and garlic. Blasting oak and modest acidity result in flatness while oak resin is by far the dominant flavor with creamy apple and pithy bitterness lurking.,Argentina,Chardonnay
Sharp prickly aromas suggest tart red plum and wild herbs. The palate is a bit heavy and sticky with sweet gummy medicinal berry flavors. Finishes bitter and peppery with a medicinal aftertaste.,Argentina,Red Blend
Tomato leaf rhubarb and herbal aromas come in front of a tight tannic and prickly palate with green spicy berry flavors. Turns hot and smacky on the finish with carob and herbal flavors.,Argentina,Cabernet Sauvignon
Salinic and minerally on the nose with a hint of peach. The palate is wet and light however the flavors run stalky and tart with green banana and bitterness leading to a chalky finish. Quaffable.,Argentina,Pinot Gris
Red plum tomato and brambly herbal aromas set up a snappy astringent palate with strained raspberry spice and herbal flavors. Very dry and acidic as it transitions to the finish. An herbal sharp-edged red.,Argentina,Red Blend
Sweet and syrupy smelling with maple-covered doughnut and muddled spice and tree bark aromas. The palate is more cutting and acidic than expected with a sheer mouthfeel and heavy vanilla and oak flavors covering up underdeveloped red fruit notes. Hard crisp and tannic stuff.,Argentina,Malbec
Heavy and stalky smelling with burnt aromas. The leaden palate is weighty and short on freshness; tastes pithy and stalky with some nectarine and plum thrown in. Seems to be fading.,Argentina,Rosé
Smells earthy and leathery with a grilled meat element to the nose. The palate runs sharp and high in acid with narrow plum flavors. Doesn't offer a whole lot on the finish. More rubbery and tart than ideal.,Argentina,Malbec
Round thick and pulsing but not too hard angular or tannic. The nose brings richness smoke and black fruits while the palate is juicy focused and forward with black-fruit flavor galore and a slight creamy character. Drying and toasty on the finish with snappy acidity through the final drop.,Argentina,Bonarda
Sweet and frothy and made quite close to the Moscato style meaning the nose is full of flowers and lime. The palate is a mix of crushed children's vitamins mango and ripe melon.,Argentina,Torrontés
Aromas of brick dust tobacco red flowers and cassis come with a touch of herbal green scents. This feels healthy and balanced with flavors of herbal berry and currant. Things turn a bit saucy and more herbal on the finish.,Argentina,Cabernet Sauvignon
Bright playful berry and plum aromas are clean and fruity. Fresh and juicy it shows firm but not jagged acidity. Flavors of ripe plum berry cocoa powder and herbs finish in forward fashion and not too oaky.,Argentina,Bonarda
Roasted gritty aromas of bacon and spicy oak are burnt on the surface. This is fleshy and full in body with moderate acidity. Herbal minty lightly green berry flavors have a rooty accent and oaky makeup. Finishing flavors of mint and raw oak blend into herbal berry leftovers.,Argentina,Cabernet Sauvignon
Aromas of oak mint and cola accent earthy black-fruit scents in front of a palate that's tannic and raw but firm and structured. Berry and salty oaky flavors finish with grabby drying tannins and peppery spice.,Argentina,Malbec
Earthy aromas of raisin blackberry barnyard and animal are dense. This feels clampy grabby and heavy with just enough acidity to maintain a sense of balance. Salty savory plum and berry flavors finish with a final wave of salt and earthy roasted berry fruit.,Argentina,Malbec
Earthy gritty berry aromas announce a jammy palate with modest acidic bounce. Following the nose this Malbec tastes earthy jammy and a touch herbal. A lively finish with solid fruit flavors and juicy acidity provides for a nice close.,Argentina,Malbec
Mild white-fruit aromas come with overt oak scents. A theme of heavy oak is continued on this barrel-driven blend of Tocai Viognier Pinot Gris and Chardonnay. Woody flavors outweigh milder spiced apple notes while this remains oak-dominated on the finish.,Argentina,White Blend
Rugged rustic gritty aromas of roasted plum saddle leather and baked beans may cause some head scratching. Speaking of scratch this is scratchy on the palate and a bit weak in the middle. Flavors of stewed berry fruits and rubber finish with grating tannins.,Argentina,Malbec
