description,country,variety
Scents of honey and freshly pressed apples waft from this delicate sweet Riesling. Bright sunny peach flavor dominates the palate but is pierced with a startling vein of lemon acidity. Finishes a savory with lingering notes of pollen and spice.,Germany,Riesling
Smoke and crushed mineral notes open this dry lusciously textured Riesling. It's slightly savory on the palate with layers of apple and pear struck by zesty lime and lemon acidity. Powerful and structured it penetrates long and lean on the finish.,Germany,Riesling
This Pinot Noir stands out in a flight of German reds for its slightly fleshy concentrated fruit quality. Bristling with acidity and a delicate layer of tannins it's delicately structured but elegantly fruity with hints of dried cherry and plum accented by rose and potpourri notes.,Germany,Spätburgunder
A spray of sour cherry acidity and clean gravelly minerality lend a tonic feel to this crisp unabashedly cool-climate Pinot Noir. On the palate delicate black-cherry and plum flavors are bolstered by layers of smoke and caramel that linger on the finish.,Germany,Pinot Noir
A lovely effort from proprietor Raimund Prüm this plump creamy-textured spätlese displays ample minerality—there's a distinctly slate-driven note—allied to ripe apple stone fruit and citrus. Sweet but not overwhelmingly so this would be terrific with slightly sweet or spicy dishes.,Germany,Riesling
The Thanisch wines from the Doctor vineyard rarely stand out in our magazine's blind tastings making their value proposition questionable. That said this is a finely elegant wine with floral details on the nose and enduring stony notes on the finish that mark it as something special. At only 7.5% abv you'd expect an intensely sweet wine but the sugars are amply buffered by acids and minerality so the overall impression is one of richness without excessive weight rather than sugary sweetness.,Germany,Riesling
A touch of spring blossom perfumes notes of smoke and struck flint on the nose of this Kabinett. It's delightfully zingy casting darts of lemon-lime acidity through flavors of sweet tangerine and apricot. The steely mineral-toned finish is exhilarating and long.,Germany,Riesling
Subdued smoke and earth tones on the nose contrast the concentrated tangerine and crunchy peach flavors in this bristling Kabinett. Lithe and lean it boasts a piercing lime backbone that is exhilarating to the senses. Delicate honey tones soften a lingering finish.,Germany,Riesling
While a tad more slender in frame than many of 2015's single-vineyard Kabinetts this delicate Riesling offers a zesty punch of sweet-tart tangerine and quince flavors. It's irresistibly thirst quenching finishing on a salty tang of mineral and lime.,Germany,Riesling
Everything is bigger and bolder in this producer's stable of 2015 Rieslings and this densely structured beerenauslese is no exception. Its luscious stone fruit flavors and spicy exotic perfume are undeniably attractive. But it's a softer plusher style of dessert Riesling atypical of Germany accentuated by a warm kiss of alcohol on the finish. Drink now through 2022.,Germany,Riesling
Blackberry and cherry notes are approachable but slightly muted in this straightforward medium-bodied red wine. It's a touch herbal and green with a tart finish marked by fine tannins. Drink now.,Germany,Dornfelder
Fresh grapefruit lime and lemon collide in this invigorating waterfall of citrus flavors. Off dry in style and breathlessly light in texture it hits the palate with an electric edge of acidity that reverberates through a long finish. Drink now through 2024.,Germany,Riesling
While subdued and closed off at initial tasting time and aeration seem to bring out this wine's vibrant tangerine and apricot perfume. The spry palate is delicately sweet juxtaposing fresh primary stone fruit and lime flavors against a backdrop of savory earth and nut. It's a quiet wine that should gain power and depth with maturity. Hold until 2020.,Germany,Riesling
Pristine primary tangerine and grapefruit flavors shine brilliantly throughout this crisp light-footed Spätlese. It's dangerously quaffable yet nuanced by shades of candlewax mineral and saffron that extend the finish dramatically.,Germany,Riesling
Saffron and orange blossoms perfume this intensely ripe almost honey-slick Kabinett. There's a zesty backbone of tangerine acidity but the palate is a crush of ruddy yellow peach and nectarine flavors. It's a luscious forward wine to enjoy young.,Germany,Riesling
While a touch brambly on the nose ripe rich tangerine and yellow plum flavors take the spotlight in this sunny off-dry Riesling. It's plush on the palate but pleasant accessible and forward. Drink now.,Germany,Riesling
Slightly oxidized tones of pressed apple and pear are lifted by a shock of lemony acidity in this spry semi-dry Riesling. The tangerine palate extends moderately long encouraged by a swathe of dried herb notes.,Germany,Riesling
Freshly snipped thyme and bramble notes are prominent yet unobtrusive against a backdrop of honey-kissed lemon and lime in this brisk off-dry Riesling. It's a zesty sprightly wine to drink young.,Germany,Riesling
Smoke and dusty minerals meld into tart green gooseberry and lime flavors on the palate of this brisk dry Silvaner. It's a fine-footed wine showing varietally characteristic notes of citrus and fresh herb. Spine tingling acidity leads a brisk finish.,Germany,Silvaner
On first whiff there's a savoriness to this nutty slightly smoky wine. Aeration reveals fresher tones of blossom and tangerine. Dry in style with crisp cutting acidity it offers elegance and refreshment at a gentle price.,Germany,Riesling
Dusty mineral and white blossoms perfume this off-dry Scheurebe. It's ethereally light in body but white grapefruit flavor penetrates the palate. Finishes crisp and dry.,Germany,Scheurebe
Fresh cantaloupe aromas shift to savory pressed apple and pear on the palate of this juicy easygoing Riesling. Semidry in style it's pleasantly slick and sweet accented by spice and honey notes. Drink now.,Germany,Riesling
Hints of smoke cinnamon and vanilla lend added depth to this deeply brambly berried Pinot Noir. It's rich and round on the palate yet balanced foursquare by a strike of cranberry acidity and soft feathery tannins. The finish is long and persistent.,Germany,Pinot Noir
Earthy complexities of granite bramble and balsamic vinegar lend contrast to this lusciously ripe Pinot Noir full of black cherry and plum flavors. It's supple and rich but elegantly framed by taut tannins and cutting mineral tones. An impeccably balanced wine to drink now through 2020.,Germany,Pinot Noir
Shows good varietal character in a somewhat sweet format. It starts off slightly musky and gingery on the nose then adds lychee fruit flavors. For its sweetness it's not particularly richly textured or weighty making it a possibility as an apéritif.,Germany,Traminer
Slightly funky and leesy on the nose with somewhat sweaty overtones to the citrus and apple aromas. But the flavors are pure suggesting that the aromatics just need some time to come around—or a quick decanting. It's medium in body with a crisp tangy finish that artfully balances sweet and tart.,Germany,Riesling
Dr. Loosen offers a solid value in this remarkably well-priced eiswein. It's enticing on the nose with aromas of honey saffron and a dark dusty mineral tone. Rich and silky in texture it's concentrated and lively on the palate with intense flavors of lemon and peach. Finishes with a tinge of tea and spicy orange rind. It's delicious now but should develop well through 2020.,Germany,Riesling
Perfumed with notes of blossom ripe stone fruit and citrus this is a lush slightly honeyed dry Silvaner. Brisk and bright with lime acidity it finishes with just a hint of varietally characteristic grass and smoke.,Germany,Silvaner
This voluptuously textured wine balances a dry elegant palate with plush peach and preserved quince flavors. Silken and supple it clings lovingly on the palate but finishes bold with a steely mineral touch.,Germany,Riesling
At almost 16 years old this auslese exhibits the delicate transition Riesling makes from fruit to earth. Smoke dusty minerals saffron and caramel dominate the palate. Texturally it seems layered with silk and astringency. On the finish racy acidity lifts and revitalizes.,Germany,Riesling
At less than $30 this entry-level beerenauslese is an exceptional value. Savory and sweet play hand-in-hand on the nose and palate balancing notes of dried herb and with unctuously sweet orange and pear. Dusty saffron and herb tones are quite pronounced on the palate but the finish is vibrant with hints of lemon and tangerine zest.,Germany,Riesling
Loosen's best Dr. L to date this is a terrific value delivering typical Mosel Riesling notes at a great price. Citrus blossom lime and crushed stone aromas are followed by apple and citrus flavors in this just-slightly-sweet wine. Drink it now and over the next year or so.,Germany,Riesling
Textbook entry-level Riesling tightly coiled and medium-bodied with lovely tension between sweet green-apple fruit notes minerally hints of crushed stone and zesty acids that recall pink grapefruit. Drink now.,Germany,Riesling
Hints of honey and orange marmalade on the nose suggest a wine moving toward maturity at a rapid pace and one gets a similar impression from the palate which shows similar development. It's stony and layered with honeyed citrus without being sweet with a wiry feel to the lingering finish. Drink now.,Germany,Riesling
This medium-bodied Riesling shows some already-evolving notes of honey truffle and petrol wrapped around its core of apple and citrus. Seems a little on the sweeter side of the trocken spectrum.,Germany,Riesling
From one of Germany's few biodynamic producers this combines struck flint and honeyed ripeness on the nose then offers apple citrus and fennel-like flavors. Despite the medium body the acids are bracing and almost sharp on the finish.,Germany,Riesling
Subtle minerality lends surprising elegance to this otherwise buoyantly fruity wine. Succulent soft yellow peach and apricot flavors are brightened by streaks of lemony acidity on the midpalate. The finish is refreshingly brisk. Drink now through 2018.,Germany,Riesling
Dusty smoky saffron and pollen complexities accent sunny white grapefruit notes in this racy light-footed kabinett. Its honey- and lemon-laced palate is straightforward yet refreshing and the finish is crisp and clean. Drink now through 2019.,Germany,Riesling
While richly textured and boldly perfumed with melons and tangerines the palate of this dry Riesling is delicate and lithe. Crisp honeydew and white peach flavors are almost ethereal in their subtlety but elegantly cast against a backdrop of striking lemon and lime.,Germany,Riesling
Still stark and taut this dry delicately framed Riesling has beauty within its subtleties. Hints of lemon lime honey and blossom flutter on the palate against a backdrop of steely minerals and piercing acidity. It's subdued in its elegance but should become more profound by holding until 2020–2022 for maturation.,Germany,Riesling
Perfumed on the nose with heady yellow florals and stonefruit this is one stunner of a Riesling. It's powerfully concentrated on the palate with flavors of honey and sweet peach tinged with lanolin and wax. Penetrating and pure in focus yet remarkably delicate in texture it finishes long with layers of crushed-stone minerality.,Germany,Riesling
High-impact aromas of sun-ripened blackberries smoke and char extend throughout this rich complex Pinot Noir. Blackberry and black cherry flavors are plump and ripe yet layered with savory herb and mineral tones. It's solid in structure framed tightly with tannins and should meld beautifully through 2025.,Germany,Spätburgunder
Candle wax and pollen notes lend a slightly earthy tone to fresh lemon and lime in this off-dry Riesling. Crisp and citrusy it finishes briskly with bracing darts of lime zest and cocktail bitters.,Germany,Riesling
Intensely rocky salty mineral tones abound in this bright citrusy off-dry Riesling. It's refreshingly brisk with a finish that's dry and steely. A remarkable buy for a Riesling of such complexity and depth.,Germany,Riesling
Delicate crushed mineral and lemon aromas turn riper and fruitier on the palate. While not deeply complex its plush pristine white peach and tangerine flavors are lip smacking. It's zippy acidity and clean mineral finish lend refreshment.,Germany,Riesling
While the nose is subdued the palate of this off-dry Riesling is unexpectedly fruity brimming with juicy peach and nectarine flavors. It's simple and straightforward but a refreshing satisfying sip. Drink now through 2017.,Germany,Riesling
Pretty green floral apple and pear notes scent this fresh easy-drinking Riesling. Brisk and semidry in style it seems sweetened by a lacy haze of sugar that lingers on the finish. Drinking now.,Germany,Riesling
Hints of bramble and mint meld into fresh black cherries and violets in this very pretty profoundly aromatic Pinot Noir. It's elegantly composed yet richly concentrated finishing amidst a lingering spray of lavender blossoms and herbs.,Germany,Spätburgunder
Shows green fruit and slightly herbal nuances on the nose then delivers crystalline structure and purity of lime fruit and liquid minerals in the mouth. Although only light to medium in body this is a powerhouse with a long finish.,Germany,Riesling
This wine shows tremendous minerality for a wine from a mix of parcels. Almost smoky saline mineral aromas combine with crisp citrusy fruit to typify the Pfalz dry Riesling style. Picks up hints of orange and clove on the finish with a suggestion of citrus pith.,Germany,Riesling
Fans of this sometimes kinky grape variety will probably feel this rating is too low. This wine starts of with hints of Scheurebe's wild side offering up hints of something resembling Sauvignon Blanc then adding almost tropical fruit and currant and pink grapefruit flavors tinged with just enough residual sugar for balance. A wild ride but an enjoyable one.,Germany,Scheurebe
At first this Riesling looks sort of bland and troubled—the aromas are nondescript the mouthfeel broad. But this wine really improves given time—the melon and peach fruit comes alive and crisp citrusy notes assert themselves on the finish.,Germany,Riesling
This is a somewhat soft and friendly wine filled with ripe peaches and pears and with a backbone of lime-like citrus. It even boasts a subtle dose of minerality. Yet it lacks the power and precision of some of the other Rebholz wines instead settling for being soft and cuddly rather than profound.,Germany,Riesling
This “great growth” is richly concentrated even a bit syrupy in texture although almost totally dry in style. Pear peach and pineapple aromas and flavors give the impression of fruit nectar then pick up enough salty minerality on the finish to add interest and provide balance.,Germany,Riesling
Ripe peaches are glazed with honey and dusted with crushed stone in this sweet wine that's lush and honeyed yet manages to retain some measure of restraint. A hint of citrus pith on the finish provides balance.,Germany,Riesling
Truly stunning this white starts out with subtle talcum powder and gravel notes then adds intense perfume and peaches in the mouth. There's a finely tuned balance and good length. Exceptional harmony and intensity suggest it will improve for 15 years or more.,Germany,Riesling
Demure lemon and lime on the nose turn fleshy and ripe on the palate of this delicately sweet Kabinett. Lush peach and tangerine flavors are offset by laser darts of acidity and earthy mineral complexities. The finish lingers on a pleasantly bitter lime-pith note.,Germany,Riesling
Ethereally light in body and texture this dry Riesling offers loads of juicy tangerine and grapefruit flavors. It's refreshingly tart with a lean steely finish. Drink now through 2020.,Germany,Riesling
Exuberant and fresh this vivacious dry Riesling is anchored in cutting citrus tones of lime lemon and tangerine. Medium bodied on the palate it's racy crystalline style is endlessly quaffable.,Germany,Riesling
Plump and sweet this corpulent kabinett features aromas and flavors of honey tangerine and melon with just the vaguest hints of slatey minerality. A hint of bitterness on the finish helps balanace some of the weight and sugar. Imported by Chapin Cellars LLC.,Germany,Riesling
Wisps of smoke and honeycomb thread enticingly amidst fresh lemon and lime in this nimble-footed dry Riesling. Lean and rather linear in style its penetrating citrus flavors are bolstered by an invigorating streak of acidity. The finish is zesty and bold.,Germany,Riesling
The bouquet of this kabinett is so exuberantly floral and peachy the delicate palate struggles to keep up. It's firm with minerality but a bit soft in acidic structure. Finishes moderately long with a honeyed floral touch.,Germany,Riesling
Yellow freesia and sweet peach abound in this deeply floral fruity auslese. Feather light in texture yet deeply concentrated in flavor it's penetratingly sweet yet finishes with a flurry of crushed minerals and lime-pith astringency.,Germany,Riesling
Smoke and crushed-stone notes lend dramatic minerality to this dry full-bodied Riesling. The palate is juicy with grapefruit flavor but elegantly balanced with dried savory herbs and fine focused acidity that reverberates from start to finish.,Germany,Riesling
Honeyed and a bit creamy on the palate this is an approachable easy-drinking Riesling. Fresh apple lemon and pear flavors are accented by smoky minerality. The finish is brisk accompanied by a hint of astringency. Drink now.,Germany,Riesling
Plush and plump this is an easygoing off-dry Riesling with wide appeal. Fresh white grapefruit apple and lemon flavors are cushioned by soft acidity. The finish is brisk and clean. Drink now through 2018.,Germany,Riesling
While low in alcohol and austere in dryness there's a remarkable richness of texture that lends an impression of volume and density on the palate. Brisk notes of lemon and tart tangerine shine brightly but are juxtaposed by an intensely stony mineral finish. Drink now through 2020.,Germany,Riesling
Old vines dating back to 1904 produce this unusually brawny late-harvest wine. It's deeply fruity almost tropical in profile bursting with sun-kissed mango and guava flavors. High-toned tangerine and grapefruit acidity lend balance highlighting a delicately astringent tea-toned finish. Drink now through 2025.,Germany,Riesling
This medium-bodied Riesling shows some already-evolving notes of honey truffle and petrol wrapped around its core of apple and citrus. Seems a little on the sweeter side of the trocken spectrum.,Germany,Riesling
A largely unfruity wine defined by mineral notes of struck flint and crushed stone. Yet at the same time it's ripe in weight and mouthcoating in its intensity hinting at orange oil on the long finish.,Germany,Riesling
It's labeled dry but this wine comes across as just slightly off dry with ripe melons and pears taking the lead and never looking back. It's plump on the palate finishing with a teasing sense of sugar. Drink now.,Germany,Riesling
If there's any quibble with this wine it's that the aromas and flavors remain in a very narrow range from struck flint to citrus. Otherwise it's a lovely dry Riesling slightly plump and custardy on the palate yet crisp and sharply focused on the finish. Drink it over the next several years.,Germany,Riesling
Comes across as rather round and lush on the palate with tropical fruit flavors of guava and pineapple. It's easy to drink and enjoy for its fruity immediacy and mouthwatering finish.,Germany,Riesling
Of the various Huber Pinot Noirs this is the one most in need of 2–3 years of cellaring. Some pungent cabbage and cedar aromas should be better integrated by then and the firm tannins now evident on the finish should also be at least partially resolved. Right now there's a hint of silkiness and some nice plum and sous-bois notes that should only improve over the short term.,Germany,Spätburgunder
Dulcet peach apricot and citrus sweetness extends languorously from nose to finish in this powerfully ripe hedonistic wine. It's dancing and delicate in frame yet unctuously juicy filling the mouth with a blanket of luminous fruit. Sprightly tangerine acidity and delicate tea-leaf tannins lend structure to a long penetrating finish. It's irresistible already but should continue to drink well for decades.,Germany,Riesling
This summery Riesling wafts of ripe yellow cherries and blossoms. Dry in style with a rich rounded mouthfeel it's deeply concentrated with stone fruit flavors accented by hints of waxy lemon and lime skin. It's delicious now for its fragrant fruity exuberance but likely to develop its waxy mineral complexities through 2019–2021.,Germany,Riesling
Initial aromas of savory spice and earth subside revealing luscious apricot peach and yellow-cherry flavors on this delicate Riesling. Semi-sweet in style it's nuanced with shades of dusty minerals and a pretty floral spray that lingers on the finish.,Germany,Riesling
Upfront aromas of smoke and spring ramps subside to reveal delicate apple blossom notes on this honeyed medium-sweet wine. Ripe rich yellow peach and cantaloupe flavors flood the palate yet wrap up remarkably dry with a lingering finish that's intense with minerality. It's gorgeously styled yet elegant and dainty.,Germany,Riesling
While intensely aromatic of honey and marmalade this powerfully structured wine is dry in style. Rich round and expansive on the palate with intense flavors of tart stone fruit and lemon it's anchored by a steely mineraly backbone. It finishes long and with impeccable focus.,Germany,Riesling
Freesia and tangerine rind scent this bright aromatic wine. It's dry in style yet luscious and ripe streaked with tones of honey tangerines and peach. Bristling lime acidity lends cut and vibe to the finish.,Germany,Riesling
Deep gold in color this is a big dense rather high-alcohol wine (11.5%) for a kabinett with honeyed flavors of Golden Delicious apples dried apricots and candied pineapple. Yet because of the elevated alcohol level it's not that sweet finishing on the dry side with firm acids.,Germany,Riesling
