Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Critic_Score,Generos,Plataformas,Empresa,Titulos
2007,50000,0,0,54,3,25,130,238
1996,20000,10000,0,99,8,14,59,5683
2011,40000,20000,0,64,0,13,82,1477
2010,0,0,100000,56,10,4,254,7396
1997,950000,640000,270000,40,0,14,21,7384
2008,80000,90000,0,82,8,27,130,1234
2009,10000,50000,0,52,7,13,107,1731
2009,0,0,110000,43,7,18,317,5823
2004,180000,70000,0,76,3,6,272,2780
2009,40000,0,0,73,10,25,369,5631
2010,0,10000,0,46,11,13,247,8033
2013,200000,290000,0,81,8,16,406,209
2000,170000,120000,0,79,4,14,414,1722
2015,30000,50000,0,81,0,2,263,137
2012,0,950000,0,45,10,13,406,2470
2010,10000,10000,0,90,8,25,478,8411
2015,50000,70000,20000,75,0,17,452,7966
2012,0,30000,0,88,0,13,478,7448
2001,20000,10000,0,74,0,14,63,4074
2007,470000,80000,0,92,3,15,121,3113
2002,50000,20000,0,55,0,6,254,2533
2011,110000,0,0,51,6,27,21,4839
2015,0,0,20000,51,0,19,452,8435
2009,240000,0,0,65,6,25,329,2156
2007,230000,30000,0,56,9,4,474,3544
1999,220000,150000,0,84,4,14,226,844
2002,30000,20000,0,51,5,15,82,749
2007,390000,910000,0,84,9,4,474,3286
1980,460000,30000,0,69,10,0,21,3260
2009,70000,0,0,66,9,4,6,5523
2005,370000,10000,0,87,8,15,131,575
2002,130000,100000,0,59,6,15,88,5735
2006,10000,10000,0,69,10,15,279,94
2005,90000,0,20000,67,4,4,317,5367
1997,0,0,300000,97,9,14,211,7467
2010,0,0,20000,90,3,18,104,3132
2010,0,0,10000,74,1,18,166,6289
2002,50000,20000,0,90,2,6,17,3941
2002,180000,50000,0,93,10,7,131,7791
1987,440000,20000,0,95,0,0,21,1223
1993,0,0,1690000,50,5,22,61,7150
2015,170000,130000,0,72,3,17,474,3587
2011,0,0,50000,93,1,16,36,7819
2004,60000,20000,0,92,3,28,96,5532
2003,10000,100000,0,61,7,13,264,6957
2010,60000,10000,0,93,0,27,495,3935
2007,710000,480000,0,70,9,4,474,5484
2009,140000,10000,0,65,6,27,442,1001
2016,40000,80000,0,79,0,17,454,65
2012,0,0,10000,41,1,18,7,187
2009,0,0,70000,64,3,4,329,1366
2007,0,0,20000,57,3,18,508,4531
2015,0,0,50000,60,7,16,452,8636
2010,0,0,10000,69,1,18,505,6386
2008,0,30000,60000,96,3,18,414,5428
2010,20000,0,0,64,1,4,302,3202
2010,540000,500000,0,90,8,27,85,6718
2010,70000,0,0,92,7,4,272,1466
2006,100000,0,0,57,3,4,509,8093
2010,0,30000,0,78,1,25,152,6484
2003,470000,150000,0,56,8,28,448,4313
2013,90000,0,30000,60,7,2,404,1230
2009,250000,10000,0,49,8,15,21,7995
2003,60000,20000,0,68,8,7,397,1235
2006,0,0,490000,65,8,15,317,4556
2010,730000,100000,0,62,10,27,442,7447
2012,150000,90000,0,67,6,19,414,4580
2013,330000,190000,0,46,8,27,6,5439
2013,0,0,350000,75,0,2,317,6437
2000,340000,70000,0,74,8,10,4,357
2003,400000,140000,0,50,9,28,131,7699
2003,1350000,90000,0,64,10,15,131,4932
2009,30000,0,0,55,5,4,511,3477
2015,90000,30000,0,59,0,29,21,1500
2009,90000,10000,0,40,3,15,131,8028
2007,330000,40000,10000,54,8,25,131,4339
2009,70000,20000,0,53,10,4,210,1513
2010,70000,20000,70000,82,3,18,475,1487
2006,0,0,70000,45,3,4,213,1127
2009,150000,110000,0,78,0,4,474,378
2013,0,60000,0,40,1,13,109,2791
1984,480000,110000,1560000,72,10,11,329,7390
2005,190000,150000,0,95,10,15,21,919
2011,60000,30000,0,62,3,4,6,239
1997,120000,30000,0,68,1,10,448,6817
2002,100000,80000,0,56,10,15,406,5002
1996,0,0,220000,84,10,10,223,1111
2010,80000,20000,0,70,6,16,115,8772
2008,200000,0,0,40,10,25,21,5894
2009,0,20000,0,74,9,25,115,4756
1996,160000,110000,0,50,10,14,131,5360
2013,40000,0,0,88,8,27,21,6865
2006,0,0,60000,57,0,15,6,5917
2006,170000,0,330000,96,7,4,406,4802
2010,300000,260000,0,56,0,27,474,5704
2016,0,40000,0,80,0,17,422,3144
2014,200000,250000,20000,41,0,17,21,7436
2008,190000,0,0,52,3,25,442,7639
2009,30000,0,0,51,8,4,189,897
2005,210000,0,0,75,3,18,298,4504
2008,0,0,10000,79,10,25,447,4193
2011,100000,60000,80000,52,9,2,317,118
2009,590000,30000,0,43,0,25,21,471
2011,110000,500000,10000,73,6,27,88,2199
2013,100000,0,10000,91,1,19,422,7735
2000,300000,60000,0,51,0,10,442,6363
2008,510000,510000,10000,99,4,27,131,4540
2011,260000,130000,0,90,0,27,492,6093
2001,140000,50000,220000,82,7,6,82,4372
2015,500000,1500000,50000,41,6,17,131,5112
2013,0,50000,0,76,0,13,82,5987
2007,0,0,60000,71,2,18,190,2934
2009,30000,0,0,91,0,25,510,5395
2007,290000,0,0,63,10,16,414,4080
2006,120000,30000,0,100,0,4,442,2425
2003,180000,50000,0,75,0,7,474,7878
2004,0,0,290000,83,7,15,422,2409
1994,0,0,60000,55,10,20,406,8543
2011,140000,0,0,74,3,4,478,3729
2011,0,0,30000,62,1,18,215,3125
2006,220000,30000,0,99,7,15,452,6513
2007,20000,0,0,93,5,18,298,3196
2000,140000,90000,0,100,8,14,4,357
2002,40000,10000,0,93,4,28,474,1910
2002,60000,20000,0,77,3,7,448,6712
2001,40000,30000,0,95,10,15,254,2050
1996,90000,60000,0,41,0,14,131,8416
1995,0,0,410000,98,5,22,329,4268
1999,10000,10000,0,50,6,14,230,5992
2006,0,30000,0,92,0,13,130,3148
2005,30000,0,40000,65,5,4,406,7663
2013,80000,230000,10000,61,10,19,131,2216
2000,190000,130000,0,46,0,14,442,6264
2011,50000,10000,40000,68,2,2,351,697
1996,10000,10000,130000,77,2,14,17,5778
2004,540000,200000,0,76,1,6,121,7424
2014,0,0,120000,40,2,2,317,5289
1993,0,0,530000,58,10,22,210,8239
2006,80000,20000,30000,60,5,25,329,3845
2005,100000,10000,30000,90,5,4,474,750
2014,80000,50000,0,50,3,19,332,1424
2005,260000,70000,0,86,9,7,131,7676
2011,70000,40000,0,100,1,16,474,4947
2007,30000,0,0,91,5,4,391,836
2016,0,0,30000,77,7,19,452,418
2010,130000,50000,0,60,1,4,474,905
2006,120000,30000,0,43,4,7,104,2463
2006,0,0,10000,99,10,16,406,6400
2012,0,0,30000,90,1,18,215,8311
2005,220000,80000,0,100,1,6,187,1075
2010,790000,0,0,56,10,16,131,4927
2003,1250000,290000,0,40,6,15,448,4495
2008,130000,0,10000,46,3,18,217,6242
2011,20000,0,0,86,8,4,237,8197
2003,20000,10000,0,56,10,7,53,2739
1999,570000,670000,0,74,1,14,442,6193
2008,20000,0,180000,50,0,18,452,8341
2012,310000,100000,30000,42,2,27,82,7023
1991,580000,370000,150000,94,6,5,329,7153
2013,260000,130000,0,98,0,27,21,1500
2008,360000,20000,0,84,0,27,21,6845
1999,880000,600000,0,87,6,14,131,4825
2008,220000,200000,0,52,4,27,492,1290
2008,270000,170000,0,40,3,27,296,8647
2016,1100000,2150000,210000,63,8,17,131,570
2013,770000,760000,10000,42,0,16,495,3894
2007,260000,0,0,67,5,25,104,5812
2010,0,0,50000,42,1,16,36,8384
2007,40000,0,0,99,0,18,94,5580
2003,740000,1010000,0,53,6,15,492,1285
2010,50000,110000,0,45,3,27,296,3974
2003,1090000,550000,0,67,6,28,131,5116
2014,0,0,20000,92,5,26,406,5803
2001,340000,130000,0,70,6,6,383,4497
1998,0,0,240000,89,10,14,57,1212
1998,1430000,50000,0,70,10,14,131,4891
1991,0,0,70000,95,10,22,223,3545
2006,0,0,100000,72,10,18,138,1561
2001,0,0,370000,66,7,14,138,7345
2001,0,0,90000,99,10,14,317,8518
1980,4000000,260000,0,49,8,0,51,395
2010,0,0,30000,78,3,18,45,6976
2007,440000,670000,0,96,6,18,406,6766
2011,0,0,120000,59,10,4,254,5662
1998,310000,70000,0,60,6,10,17,2171
2000,550000,380000,0,41,3,14,414,3434
2000,140000,100000,0,74,8,14,432,689
2008,500000,290000,10000,62,7,4,406,6754
2003,150000,130000,630000,82,0,16,406,8608
2012,0,0,70000,90,1,18,317,3235
2005,50000,10000,0,53,3,28,296,7350
2002,960000,530000,300000,85,1,7,329,6907
2004,0,0,40000,41,3,4,452,4185
2009,80000,0,0,52,9,4,442,1932
1996,50000,30000,0,62,11,14,460,6030
2004,370000,140000,0,89,0,6,131,3005
2015,0,0,20000,56,0,19,215,2939
2007,10000,0,0,77,3,4,117,2569
1998,0,0,40000,43,10,14,254,812
2010,0,0,20000,80,1,18,104,4542
2011,290000,80000,0,89,3,27,474,3592
2011,0,30000,0,81,11,13,478,4426
1981,150000,10000,0,58,0,0,281,334
2009,0,0,80000,77,7,18,20,3693
2004,510000,150000,0,54,2,28,131,2362
2009,770000,30000,0,63,10,18,478,4142
2010,0,0,70000,59,7,4,317,3707
2007,30000,10000,0,60,10,27,406,8230
2011,70000,70000,0,69,8,16,422,4521
2004,0,0,320000,50,0,15,452,2006
2011,0,340000,0,46,3,16,414,1420
2013,100000,140000,0,41,11,16,21,268
2010,0,0,10000,50,9,4,445,5465
1999,140000,100000,0,80,3,14,474,6369
2013,50000,0,40000,70,7,19,195,4520
2008,0,30000,0,68,8,13,115,6213
2012,50000,30000,60000,83,7,16,93,3227
2010,1510000,610000,0,84,0,25,264,3889
2005,320000,70000,0,74,6,28,442,4120
2005,40000,20000,0,98,0,6,254,6563
1992,0,0,60000,57,2,22,254,7366
1995,80000,50000,0,72,9,14,489,163
2014,0,0,40000,73,1,16,332,6490
2012,480000,350000,360000,75,0,2,329,3717
2011,40000,40000,0,77,5,4,279,4322
2009,160000,160000,0,78,0,25,130,4525
2011,220000,0,0,88,3,2,21,8453
2003,450000,350000,0,42,6,15,134,6980
2008,40000,10000,480000,44,7,4,254,4173
2010,100000,50000,0,54,10,16,6,833
2005,70000,20000,0,99,10,28,448,1199
2000,1700000,1250000,20000,66,0,14,21,6835
2001,20000,10000,0,91,10,15,474,7085
1990,680000,100000,390000,52,4,11,82,4363
2004,0,0,410000,49,4,6,329,2279
2000,340000,490000,280000,45,0,14,489,1638
2008,0,0,50000,84,3,4,62,2579
2012,0,0,10000,67,1,18,30,5330
2005,40000,30000,0,71,10,15,6,2436
2002,80000,30000,0,70,0,6,474,6266
2000,560000,380000,0,63,10,14,414,4966
2010,0,70000,30000,58,0,16,414,7500
2011,0,0,130000,66,0,25,82,6413
2001,130000,90000,0,58,8,14,474,7874
2006,170000,10000,0,94,6,4,131,5114
2008,460000,200000,10000,67,0,27,466,8058
2011,30000,0,0,80,5,4,478,3572
2015,360000,160000,0,57,10,17,131,4993
2010,30000,0,0,87,8,25,340,4229
2005,0,0,70000,67,0,18,317,2911
2005,120000,50000,0,46,3,6,442,3080
2008,220000,20000,0,82,0,27,406,7545
2010,590000,870000,0,100,9,13,131,7689
2010,0,390000,0,98,3,25,337,8365
2009,50000,40000,0,51,3,15,268,6120
1998,200000,50000,0,79,10,10,156,2508
2003,60000,20000,0,64,0,7,51,7207
2007,50000,10000,0,40,4,4,121,1708
2008,0,0,10000,61,0,4,393,1101
2002,490000,130000,70000,83,11,7,254,8687
2008,0,10000,0,56,4,27,296,490
1998,40000,10000,0,51,4,10,226,1054
2004,50000,40000,0,60,9,15,187,6925
2006,30000,10000,0,92,4,6,298,7437
2013,110000,40000,0,62,11,29,21,268
2009,3110000,1550000,80000,69,0,27,474,377
2007,0,20000,0,65,7,13,107,3936
2004,140000,110000,0,83,4,15,82,4394
2006,30000,20000,0,59,8,15,130,8152
2009,0,0,30000,84,7,18,452,3784
2011,30000,20000,0,45,5,4,85,3474
2010,400000,100000,0,55,9,4,21,8729
2007,0,0,120000,57,3,15,104,3141
2011,0,40000,60000,70,0,2,6,5060
2001,620000,490000,0,53,0,15,254,6597
2010,190000,360000,10000,43,0,16,474,5704
2016,0,0,110000,86,7,16,478,5458
2005,860000,30000,0,57,6,15,442,4120
2011,120000,70000,0,85,0,13,115,1471
2009,90000,0,0,41,3,25,272,240
2003,60000,20000,0,93,7,7,406,5500
2003,1570000,180000,0,45,10,15,131,4894
2010,380000,40000,0,56,10,27,6,833
2011,0,0,30000,56,7,4,210,5318
2016,0,10000,0,45,1,13,67,6485
2011,20000,0,0,65,0,2,254,5726
2005,30000,10000,0,72,6,28,96,4116
2012,0,20000,0,40,5,4,478,3091
2010,0,0,190000,64,3,4,210,4595
2008,590000,310000,150000,73,4,25,329,8336
2014,580000,260000,0,72,7,27,474,6803
2014,0,0,30000,83,7,16,317,7112
2007,0,0,20000,64,0,15,277,874
2002,750000,1090000,20000,58,0,14,131,2999
2006,80000,0,0,60,5,18,6,1053
2013,0,0,20000,82,3,18,45,6975
2008,0,10000,0,70,1,13,98,80
2002,0,0,390000,82,8,15,317,4572
2004,0,0,80000,99,1,6,329,2269
2011,1080000,730000,150000,91,0,16,115,1471
2008,1780000,630000,0,65,3,27,21,2896
2006,0,0,20000,69,3,18,406,5562
2011,0,0,20000,40,11,16,104,4128
2010,0,0,90000,41,1,18,452,3785
2011,0,50000,0,78,1,27,21,4599
2012,0,120000,0,44,0,13,396,2141
2005,10000,20000,0,80,5,25,164,4069
2010,0,120000,0,47,3,27,296,3972
1998,0,0,60000,92,0,14,143,5345
2007,20000,0,0,83,10,4,51,453
2002,0,0,200000,67,3,15,401,3531
2002,70000,20000,0,63,6,7,131,2523
2014,0,0,70000,45,3,2,158,983
2006,100000,30000,0,92,10,7,131,2240
2011,80000,80000,30000,76,0,25,254,5726
2015,0,0,10000,43,0,19,478,3218
2014,0,0,260000,40,0,16,452,6322
2008,100000,290000,0,84,3,25,474,2282
2010,70000,10000,30000,63,2,18,351,693
2009,0,40000,0,53,1,13,152,4743
2016,30000,40000,0,46,0,29,474,383
2005,50000,10000,0,70,6,28,474,28
2008,470000,0,0,93,9,25,6,8362
2014,170000,0,80000,61,0,26,329,4952
2008,410000,0,0,46,3,4,474,791
2010,210000,70000,90000,41,2,16,351,696
2000,580000,390000,0,51,6,14,17,105
2012,550000,240000,10000,79,7,27,131,3781
2008,90000,80000,0,69,1,25,51,228
2011,140000,30000,0,47,0,25,442,4280
2006,10000,20000,0,99,9,13,131,7684
2008,580000,450000,340000,56,0,16,82,1593
2002,90000,20000,0,96,6,7,17,3450
2014,3960000,6310000,380000,56,0,17,448,2821
1996,90000,60000,0,40,0,14,130,7546
2006,40000,0,0,83,10,4,131,2238
2005,70000,20000,0,74,3,28,96,8481
1997,0,0,130000,76,11,14,423,2553
2010,1050000,1230000,30000,97,6,16,131,5118
2008,40000,0,0,52,1,4,509,4071
2011,110000,60000,80000,99,0,16,217,2084
2000,100000,70000,0,49,3,14,226,404
1996,40000,30000,160000,80,10,14,452,2629
2006,580000,500000,0,49,0,18,264,3902
2006,1280000,30000,730000,40,7,4,329,5600
2009,50000,0,0,42,10,4,448,7440
1998,0,0,70000,97,1,14,366,5025
2004,40000,20000,0,85,10,6,51,458
2011,0,0,30000,49,7,27,82,4625
2006,70000,10000,0,72,6,27,474,3301
1999,250000,60000,0,66,6,10,131,3188
2007,240000,30000,0,94,0,27,131,3004
2010,100000,40000,0,48,0,16,495,7618
2010,30000,0,0,82,3,4,510,1502
2008,80000,0,0,42,3,4,474,4500
2009,590000,290000,0,89,3,25,21,489
2008,130000,0,0,96,10,16,131,4971
2009,420000,200000,0,86,9,4,442,8540
1998,1020000,40000,0,53,10,10,298,4956
2016,90000,120000,0,51,11,13,448,8584
2005,50000,10000,0,58,8,28,448,6439
2015,0,20000,0,79,0,2,56,7763
2003,70000,50000,250000,87,7,15,182,6511
2000,2550000,1560000,1290000,89,7,5,329,5612
2015,380000,220000,0,74,0,28,254,4443
1998,60000,300000,190000,93,10,10,254,3340
2003,170000,130000,0,99,0,15,474,541
2005,80000,20000,0,78,1,28,187,1075
2012,0,0,20000,83,0,2,213,5687
2002,0,40000,0,72,0,13,448,4163
2010,260000,0,0,40,3,4,495,6442
1999,20000,10000,0,82,0,10,249,1074
2013,170000,390000,0,41,8,13,131,1334
2012,0,0,100000,87,7,18,220,6729
2006,280000,220000,0,60,10,15,131,327
2013,70000,60000,0,52,9,25,121,1717
2002,140000,110000,0,67,6,15,442,4114
1998,0,0,130000,78,11,14,180,5771
2004,100000,10000,50000,76,5,4,217,8747
2010,70000,110000,0,88,0,27,115,5717
2003,80000,20000,0,62,8,28,131,4125
2009,100000,0,0,57,1,4,254,8457
2011,0,0,130000,73,7,18,277,2813
2014,0,0,260000,47,0,16,406,8613
1998,1480000,200000,0,100,0,14,10,8069
2002,40000,10000,60000,51,8,28,157,4740
2009,100000,0,0,64,9,4,21,280
2007,130000,0,0,46,8,4,492,2688
1998,50000,30000,0,59,11,14,53,815
2002,210000,80000,0,60,4,6,442,6849
2006,370000,30000,0,100,6,18,414,100
1996,0,0,500000,96,10,22,317,7108
2009,290000,150000,0,93,6,25,21,1946
1984,0,0,1100000,82,5,11,210,4004
2008,1180000,900000,0,97,10,25,474,4768
2011,0,70000,0,43,0,13,254,5726
2010,840000,700000,130000,89,0,25,21,2787
2005,50000,20000,0,75,8,6,254,8444
2013,0,0,20000,75,1,16,317,108
2007,290000,10000,0,82,0,27,474,5088
1993,250000,100000,0,93,0,11,342,3575
2016,0,0,10000,62,0,17,317,1324
2010,220000,110000,0,51,3,25,268,2839
2006,10000,0,0,78,8,28,130,6142
2015,50000,150000,0,84,9,13,131,7695
2008,720000,1080000,0,54,3,25,474,5934
2008,0,0,170000,79,7,15,53,6505
2015,0,0,50000,63,0,2,30,1817
2001,0,0,150000,78,5,6,317,4726
2012,40000,0,0,92,3,2,474,3172
2011,330000,20000,0,88,10,25,21,915
2002,40000,10000,0,41,10,7,442,1442
2010,550000,550000,0,91,0,16,495,3886
2005,40000,30000,0,80,2,15,317,8711
2013,0,0,30000,97,2,16,82,1455
2010,0,0,20000,94,1,18,377,1142
2015,20000,10000,60000,74,0,17,452,6324
2005,70000,20000,0,99,0,6,492,502
2015,130000,180000,30000,82,0,17,115,6284
1998,770000,540000,0,78,8,14,448,1977
2002,70000,20000,0,79,0,6,442,236
2014,120000,160000,0,49,8,16,406,204
2005,70000,20000,0,75,1,7,21,6378
2003,0,0,200000,54,10,15,254,3490
2007,0,0,20000,70,3,15,406,3534
2004,100000,20000,0,88,7,7,82,4395
2004,130000,50000,0,47,10,6,51,451
2006,0,0,40000,93,1,15,254,7392
2004,520000,950000,0,47,9,15,131,7732
2007,70000,10000,0,43,8,16,298,677
2009,0,0,80000,67,1,4,452,164
2001,990000,410000,0,46,3,16,131,6110
2010,70000,0,0,82,0,4,448,1613
2006,70000,0,0,71,1,18,442,6367
2001,0,160000,0,52,10,16,414,4722
2013,360000,240000,0,96,3,13,474,6131
2005,0,20000,0,44,9,13,88,3095
2005,50000,40000,0,81,8,15,399,4464
2009,0,120000,0,74,8,13,6,331
2014,0,0,70000,76,7,19,93,3227
2005,50000,10000,0,48,0,7,406,6820
1983,510000,120000,450000,72,4,11,329,5643
2008,100000,0,0,92,3,4,131,794
2008,0,10000,0,75,3,4,474,8390
2007,0,0,20000,75,7,4,391,763
2000,30000,30000,0,75,8,15,433,6612
2004,110000,80000,0,44,7,15,6,4179
1999,0,980000,0,52,10,13,130,1062
2015,90000,80000,60000,61,4,2,329,1089
2002,100000,40000,0,46,0,6,442,6955
2010,30000,0,0,53,8,16,272,2841
2014,80000,70000,0,60,7,13,314,8413
2002,640000,500000,0,91,8,15,17,8061
2011,0,0,220000,69,0,16,82,6413
2014,210000,210000,0,60,0,26,495,3943
2004,20000,10000,0,73,0,15,406,3058
2010,160000,20000,0,70,4,16,21,6581
2008,0,0,70000,62,1,15,452,3012
1989,0,0,1100000,95,7,5,423,7493
2003,250000,90000,0,45,0,6,442,6954
1996,0,0,190000,56,10,22,254,3485
2016,0,0,50000,65,0,19,317,3635
2011,10000,0,0,71,10,2,280,5335
2000,0,0,200000,43,11,5,329,7981
1997,20000,10000,0,99,8,14,254,1332
2010,130000,30000,0,61,10,25,474,6471
2009,130000,60000,50000,70,7,25,422,2384
2000,220000,10000,0,87,10,10,17,221
2013,0,0,10000,72,8,27,308,939
2006,120000,90000,0,77,7,15,317,1632
2005,270000,70000,0,81,1,7,442,5181
1996,100000,70000,0,68,0,14,24,7797
2003,60000,20000,0,81,10,28,4,3108
1998,460000,960000,90000,40,6,10,486,2184
